model,oracle,tests,states,equivalent,learning_queries,learning_steps,eq_queries,eq_steps
M1,randomWp,500000,5,True,359,1467,67,485
M2,randomWp,500000,8,True,628,3709,229,1943
M6,randomWp,500000,7,True,488,2655,1018,8040
M4,randomWp,500000,7,True,498,2825,133,1237
M5,randomWp,500000,8,True,580,3602,388,3700
M3,randomWp,500000,8,True,581,3172,966,8211
M1,randomWp,500000,5,True,326,1587,99,823
M2,randomWp,500000,8,True,606,3143,191,1421
M6,randomWp,500000,7,True,554,2867,531,4158
M4,randomWp,500000,7,True,542,2812,76,638
M5,randomWp,500000,8,True,550,3235,494,4581
M3,randomWp,500000,8,True,582,3199,461,3581
M1,randomWp,500000,5,True,331,1356,103,804
M2,randomWp,500000,8,True,615,3150,652,5247
M6,randomWp,500000,7,True,536,2792,781,6789
M4,randomWp,500000,7,True,470,2601,836,7010
M5,randomWp,500000,8,True,590,3513,527,4829
M3,randomWp,500000,8,True,551,3080,407,3481
M1,randomWp,500000,5,True,346,1419,208,1734
M2,randomWp,500000,8,True,569,3070,499,4110
M6,randomWp,500000,7,True,552,2826,248,2034
M4,randomWp,500000,7,True,556,2857,393,3363
M5,randomWp,500000,8,True,607,3567,229,2004
M3,randomWp,500000,8,True,600,3170,407,3229
M1,randomWp,500000,5,True,251,911,54,475
M2,randomWp,500000,8,True,634,3255,681,5842
M6,randomWp,500000,7,True,521,2706,325,2707
M4,randomWp,500000,7,True,545,2783,362,3234
M5,randomWp,500000,8,True,554,3427,1944,16803
M3,randomWp,500000,8,True,520,3103,837,7907
M1,randomWp,500000,5,True,302,1271,131,968
M2,randomWp,500000,8,True,637,3241,481,4182
M6,randomWp,500000,7,True,543,2811,1193,9859
M4,randomWp,500000,7,True,506,2696,309,2712
M5,randomWp,500000,8,True,560,3403,1048,9287
M3,randomWp,500000,8,True,576,3081,642,5750
M1,randomWp,500000,5,True,352,1452,70,605
M2,randomWp,500000,8,True,571,3001,533,4496
M6,randomWp,500000,7,True,491,2776,602,5318
M4,randomWp,500000,7,True,412,1870,295,2612
M5,randomWp,500000,8,True,546,3130,1224,11093
M3,randomWp,500000,8,True,529,2986,1216,11700
M1,randomWp,500000,5,True,357,1427,42,260
M2,randomWp,500000,8,True,625,3264,1620,13492
M6,randomWp,500000,7,True,460,2531,617,5333
M4,randomWp,500000,7,True,473,2588,761,6491
M5,randomWp,500000,8,True,594,3586,1136,10086
