model,oracle,tests,states,equivalent,learning_queries,learning_steps,eq_queries,eq_steps
CYW43455,randomWp,500000,16,True,309,1483,192,1678
cc2652r1_new,randomWp,500000,6,True,106,503,45,266
nRF52832,randomWp,500000,5,True,62,184,59,450
cyble-416045-02,randomWp,500000,2,True,24,308,3,27
tesla_model_3,randomWp,500000,10,True,154,572,44,299
explorable,randomWp,500000,2,True,21,80,1,6
cc2652r1_old,randomWp,500000,4,True,59,188,7,47
cc2650,randomWp,500000,4,True,62,321,12,78
CYW43455,randomWp,500000,16,True,311,1467,21,148
cc2652r1_new,randomWp,500000,6,True,93,336,18,115
nRF52832,randomWp,500000,5,True,59,181,35,239
cyble-416045-02,randomWp,500000,2,True,19,48,2,7
tesla_model_3,randomWp,500000,10,True,163,644,13,87
explorable,randomWp,500000,2,True,23,95,3,31
cc2652r1_old,randomWp,500000,4,True,57,161,3,13
cc2650,randomWp,500000,4,True,49,219,2,11
CYW43455,randomWp,500000,16,True,318,1546,282,2457
cc2652r1_new,randomWp,500000,6,True,101,393,29,204
nRF52832,randomWp,500000,5,True,64,200,24,161
cyble-416045-02,randomWp,500000,2,True,23,154,9,73
tesla_model_3,randomWp,500000,10,True,138,536,79,606
explorable,randomWp,500000,2,True,20,42,7,30
cc2652r1_old,randomWp,500000,4,True,55,251,7,58
cc2650,randomWp,500000,4,True,63,282,15,98
CYW43455,randomWp,500000,16,True,309,1463,82,723
cc2652r1_new,randomWp,500000,6,True,96,402,24,153
nRF52832,randomWp,500000,5,True,58,204,19,125
cyble-416045-02,randomWp,500000,2,True,19,48,3,10
tesla_model_3,randomWp,500000,10,True,162,815,12,96
explorable,randomWp,500000,2,True,23,259,4,32
cc2652r1_old,randomWp,500000,4,True,47,266,17,118
cc2650,randomWp,500000,4,True,61,186,8,84
CYW43455,randomWp,500000,16,True,317,1681,288,2483
cc2652r1_new,randomWp,500000,6,True,99,366,48,375
nRF52832,randomWp,500000,5,True,54,164,89,635
cyble-416045-02,randomWp,500000,2,True,20,40,8,57
tesla_model_3,randomWp,500000,10,True,160,1033,25,162
explorable,randomWp,500000,2,True,20,51,6,40
cc2652r1_old,randomWp,500000,4,True,54,213,12,65
cc2650,randomWp,500000,4,True,58,229,12,71
CYW43455,randomWp,500000,16,True,294,1292,98,686
cc2652r1_new,randomWp,500000,6,True,104,433,63,489
nRF52832,randomWp,500000,5,True,54,273,1,7
cyble-416045-02,randomWp,500000,2,True,22,86,6,45
tesla_model_3,randomWp,500000,10,True,152,639,28,212
explorable,randomWp,500000,2,True,21,80,11,68
cc2652r1_old,randomWp,500000,4,True,48,215,4,22
cc2650,randomWp,500000,4,True,55,168,16,109
CYW43455,randomWp,500000,16,True,304,1452,95,808
cc2652r1_new,randomWp,500000,6,True,92,415,24,174
nRF52832,randomWp,500000,5,True,61,186,79,695
cyble-416045-02,randomWp,500000,2,True,21,44,1,8
tesla_model_3,randomWp,500000,10,True,161,666,54,419
explorable,randomWp,500000,2,True,22,112,8,67
cc2652r1_old,randomWp,500000,4,True,62,236,6,56
cc2650,randomWp,500000,4,True,49,182,13,89
CYW43455,randomWp,500000,16,True,299,1279,132,1082
cc2652r1_new,randomWp,500000,6,True,106,539,14,89
nRF52832,randomWp,500000,5,True,61,179,63,455
cyble-416045-02,randomWp,500000,2,True,20,40,4,23
tesla_model_3,randomWp,500000,10,True,147,544,94,743
explorable,randomWp,500000,2,True,22,100,4,22
cc2652r1_old,randomWp,500000,4,True,56,169,18,103
cc2650,randomWp,500000,4,True,48,170,4,21
CYW43455,randomWp,500000,16,True,294,1277,64,478
cc2652r1_new,randomWp,500000,6,True,98,397,34,238
nRF52832,randomWp,500000,5,True,67,196,12,63
cyble-416045-02,randomWp,500000,2,True,22,49,1,12
tesla_model_3,randomWp,500000,10,True,161,649,77,697
explorable,randomWp,500000,2,True,22,51,3,29
cc2652r1_old,randomWp,500000,4,True,59,203,21,129
cc2650,randomWp,500000,4,True,59,251,20,137
CYW43455,randomWp,500000,16,True,282,1267,54,393
cc2652r1_new,randomWp,500000,6,True,87,363,32,214
nRF52832,randomWp,500000,5,True,61,177,47,346
cyble-416045-02,randomWp,500000,2,True,19,59,8,34
tesla_model_3,randomWp,500000,10,True,156,789,15,147
explorable,randomWp,500000,2,True,21,43,1,5
cc2652r1_old,randomWp,500000,4,True,58,229,11,74
cc2650,randomWp,500000,4,True,67,205,2,16
CYW43455,randomWp,500000,16,True,295,1506,42,306
cc2652r1_new,randomWp,500000,6,True,102,543,10,76
nRF52832,randomWp,500000,5,True,64,203,55,399
cyble-416045-02,randomWp,500000,2,True,22,89,2,11
tesla_model_3,randomWp,500000,10,True,176,767,207,1785
explorable,randomWp,500000,2,True,20,40,1,4
cc2652r1_old,randomWp,500000,4,True,46,163,3,20
cc2650,randomWp,500000,4,True,57,199,7,37
CYW43455,randomWp,500000,16,True,294,1387,32,251
cc2652r1_new,randomWp,500000,6,True,107,550,11,79
nRF52832,randomWp,500000,5,True,68,286,48,351
cyble-416045-02,randomWp,500000,2,True,19,48,1,4
tesla_model_3,randomWp,500000,10,True,144,623,19,172
explorable,randomWp,500000,2,True,20,62,1,4
cc2652r1_old,randomWp,500000,4,True,58,214,7,38
cc2650,randomWp,500000,4,True,65,310,6,31
CYW43455,randomWp,500000,16,True,318,1522,163,1370
cc2652r1_new,randomWp,500000,6,True,81,334,20,140
nRF52832,randomWp,500000,5,True,66,210,3,13
cyble-416045-02,randomWp,500000,2,True,21,66,4,23
tesla_model_3,randomWp,500000,10,True,154,613,9,46
explorable,randomWp,500000,2,True,22,100,12,81
cc2652r1_old,randomWp,500000,4,True,59,201,23,170
cc2650,randomWp,500000,4,True,50,263,6,36
CYW43455,randomWp,500000,16,True,310,1430,212,1787
cc2652r1_new,randomWp,500000,6,True,105,504,37,299
nRF52832,randomWp,500000,5,True,64,238,39,315
cyble-416045-02,randomWp,500000,2,True,21,80,2,21
tesla_model_3,randomWp,500000,10,True,143,621,67,545
explorable,randomWp,500000,2,True,22,126,1,8
cc2652r1_old,randomWp,500000,4,True,54,199,7,54
cc2650,randomWp,500000,4,True,64,220,21,129
CYW43455,randomWp,500000,16,True,296,1357,56,447
cc2652r1_new,randomWp,500000,6,True,96,382,25,172
nRF52832,randomWp,500000,5,True,61,173,36,263
cyble-416045-02,randomWp,500000,2,True,20,40,3,6
tesla_model_3,randomWp,500000,10,True,165,675,44,318
explorable,randomWp,500000,2,True,22,130,1,9
cc2652r1_old,randomWp,500000,4,True,63,237,31,210
cc2650,randomWp,500000,4,True,68,322,11,66
CYW43455,randomWp,500000,16,True,288,1347,79,616
cc2652r1_new,randomWp,500000,6,True,100,386,41,254
nRF52832,randomWp,500000,5,True,63,174,53,425
cyble-416045-02,randomWp,500000,2,True,23,162,1,10
tesla_model_3,randomWp,500000,10,True,171,744,50,422
explorable,randomWp,500000,2,True,23,79,1,12
cc2652r1_old,randomWp,500000,4,True,48,161,4,22
cc2650,randomWp,500000,4,True,50,150,10,49
CYW43455,randomWp,500000,16,True,312,1674,153,1290
cc2652r1_new,randomWp,500000,6,True,90,436,39,248
nRF52832,randomWp,500000,5,True,62,177,12,74
cyble-416045-02,randomWp,500000,2,True,22,141,4,27
tesla_model_3,randomWp,500000,10,True,141,588,56,500
explorable,randomWp,500000,2,True,22,74,1,9
cc2652r1_old,randomWp,500000,4,True,59,186,25,154
cc2650,randomWp,500000,4,True,55,195,9,40
CYW43455,randomWp,500000,16,True,298,1287,104,827
cc2652r1_new,randomWp,500000,6,True,103,672,14,111
nRF52832,randomWp,500000,5,True,58,164,16,70
cyble-416045-02,randomWp,500000,2,True,22,130,2,11
tesla_model_3,randomWp,500000,10,True,147,556,87,765
explorable,randomWp,500000,2,True,19,38,14,60
cc2652r1_old,randomWp,500000,4,True,55,166,11,84
cc2650,randomWp,500000,4,True,48,348,7,55
CYW43455,randomWp,500000,16,True,274,1196,21,147
cc2652r1_new,randomWp,500000,6,True,105,522,12,62
nRF52832,randomWp,500000,5,True,55,244,10,45
cyble-416045-02,randomWp,500000,2,True,21,80,5,31
tesla_model_3,randomWp,500000,10,True,168,710,20,139
explorable,randomWp,500000,2,True,20,52,1,7
cc2652r1_old,randomWp,500000,4,True,62,225,4,34
cc2650,randomWp,500000,4,True,51,198,20,112
CYW43455,randomWp,500000,16,True,293,1457,59,415
cc2652r1_new,randomWp,500000,6,True,93,470,6,58
nRF52832,randomWp,500000,5,True,58,161,67,501
cyble-416045-02,randomWp,500000,2,True,21,56,4,23
tesla_model_3,randomWp,500000,10,True,151,584,54,430
explorable,randomWp,500000,2,True,20,62,2,8
cc2652r1_old,randomWp,500000,4,True,47,185,1,7
cc2650,randomWp,500000,4,True,65,248,3,22
CYW43455,randomWp,500000,16,True,301,1443,55,407
cc2652r1_new,randomWp,500000,6,True,107,635,92,647
nRF52832,randomWp,500000,5,True,64,188,21,163
cyble-416045-02,randomWp,500000,2,True,23,97,1,16
tesla_model_3,randomWp,500000,10,True,171,704,29,166
explorable,randomWp,500000,2,True,20,40,4,16
cc2652r1_old,randomWp,500000,4,True,65,228,9,56
cc2650,randomWp,500000,4,True,60,304,75,571
CYW43455,randomWp,500000,16,True,279,1289,54,423
cc2652r1_new,randomWp,500000,6,True,89,362,22,243
nRF52832,randomWp,500000,5,True,68,210,5,23
cyble-416045-02,randomWp,500000,2,True,22,141,9,50
tesla_model_3,randomWp,500000,10,True,171,689,46,371
explorable,randomWp,500000,2,True,22,48,2,12
cc2652r1_old,randomWp,500000,4,True,59,201,3,23
cc2650,randomWp,500000,4,True,61,214,12,69
CYW43455,randomWp,500000,16,True,303,1350,58,398
cc2652r1_new,randomWp,500000,6,True,97,375,79,612
nRF52832,randomWp,500000,5,True,52,171,16,93
cyble-416045-02,randomWp,500000,2,True,22,104,5,43
tesla_model_3,randomWp,500000,10,True,161,640,71,602
explorable,randomWp,500000,2,True,20,62,2,10
cc2652r1_old,randomWp,500000,4,True,51,301,5,48
cc2650,randomWp,500000,4,True,54,192,12,81
CYW43455,randomWp,500000,16,True,282,1355,61,458
cc2652r1_new,randomWp,500000,6,True,105,644,67,501
nRF52832,randomWp,500000,5,True,63,198,34,269
cyble-416045-02,randomWp,500000,2,True,20,40,1,2
tesla_model_3,randomWp,500000,10,True,155,656,14,85
explorable,randomWp,500000,2,True,23,79,4,20
cc2652r1_old,randomWp,500000,4,True,50,248,8,40
cc2650,randomWp,500000,4,True,63,185,13,77
CYW43455,randomWp,500000,16,True,316,1500,33,227
cc2652r1_new,randomWp,500000,6,True,95,486,19,126
nRF52832,randomWp,500000,5,True,63,175,36,260
cyble-416045-02,randomWp,500000,2,True,19,48,1,3
tesla_model_3,randomWp,500000,10,True,157,630,92,799
explorable,randomWp,500000,2,True,23,183,11,64
cc2652r1_old,randomWp,500000,4,True,61,180,5,33
cc2650,randomWp,500000,4,True,49,239,4,22
CYW43455,randomWp,500000,16,True,300,1300,44,302
cc2652r1_new,randomWp,500000,6,True,103,485,50,404
nRF52832,randomWp,500000,5,True,67,248,69,547
