model,eq_oracle,cop,tests,states,equivalent,learning_queries,learning_steps,eq_queries,eq_steps
./TLS/mbedtls/1.2.7/TLS12/learnedModel.dot,randomWp,42,500000,6,True,194,795,1827,13859
./TLS/mbedtls/1.1.8/TLS11/learnedModel.dot,randomWp,20,500000,6,True,205,805,1468,11444
./TLS/mbedtls/2.7.8/TLS12/learnedModel.dot,randomWp,72,500000,6,True,119,450,761,5684
./TLS/mbedtls/3.0.0p1/TLS12/learnedModel.dot,randomWp,99,500000,8,True,187,719,975,7943
./TLS/mbedtls/2.1.5/TLS12/learnedModel.dot,randomWp,81,500000,6,True,189,765,2399,18410
./TLS/mbedtls/1.3.3/TLS12/learnedModel.dot,randomWp,18,500000,6,True,197,811,1969,15034
./TLS/openssl/0.9.8a/TLS10/learnedModel.dot,randomWp,33,500000,14,True,211,1019,279209,2717289
./TLS/openssl/1.0.2m/TLS12/learnedModel.dot,randomWp,27,500000,8,True,129,619,5419,47178
./TLS/openssl/1.0.2d/TLS12/learnedModel.dot,randomWp,39,500000,10,True,158,709,36103,330124
./TLS/openssl/1.1.0a/TLS12/learnedModel.dot,randomWp,39,500000,8,True,115,534,1874,16503
./TLS/openssl/1.0.1r/TLS12/learnedModel.dot,randomWp,33,500000,11,True,223,908,709,5847
./TLS/openssl/1.1.1g/TLS12/learnedModel.dot,randomWp,24,500000,8,True,128,512,16033,141597
./TLS/openssl/0.9.8zh/TLS10/learnedModel.dot,randomWp,15,500000,11,True,205,819,19039,171913
./TLS/openssl/1.0.1/TLS12/learnedModel.dot,randomWp,8,500000,13,True,221,1044,534,4817
./TLS/openssl/1.0.1/TLS10/learnedModel.dot,randomWp,11,500000,14,True,274,1384,60280,584803
./TLS/openssl/0.9.7d/TLS10/learnedModel.dot,randomWp,5,500000,14,True,258,1323,80013,779070
./TLS/openssl/1.0.0p/TLS10/learnedModel.dot,randomWp,5,500000,11,True,186,862,12203,110009
./TLS/openssl/0.9.8y/TLS10/learnedModel.dot,randomWp,13,500000,14,True,243,1146,2943,27341
./TLS/openssl/0.9.8l/TLS10/learnedModel.dot,randomWp,1,500000,10,True,147,615,863,7165
./TLS/openssl/1.0.0m/TLS10/learnedModel.dot,randomWp,5,500000,13,True,220,1054,12949,122647
./TLS/openssl/1.0.1d/TLS12/learnedModel.dot,randomWp,2,500000,13,True,255,1083,2689,23817
./TLS/openssl/1.0.0g/TLS10/learnedModel.dot,randomWp,4,500000,11,True,192,895,526,4840
./TLS/mbedtls/1.2.7/TLS12/learnedModel.dot,randomWp,42,500000,6,True,239,921,236,1669
./TLS/mbedtls/1.1.8/TLS11/learnedModel.dot,randomWp,20,500000,6,True,208,823,1427,10917
./TLS/mbedtls/2.7.8/TLS12/learnedModel.dot,randomWp,72,500000,6,True,136,493,2,4
./TLS/mbedtls/3.0.0p1/TLS12/learnedModel.dot,randomWp,99,500000,8,True,186,741,1018,8215
./TLS/mbedtls/2.1.5/TLS12/learnedModel.dot,randomWp,81,500000,6,True,220,841,1512,12172
./TLS/mbedtls/1.3.3/TLS12/learnedModel.dot,randomWp,18,500000,6,True,187,747,3584,27978
./TLS/openssl/0.9.8a/TLS10/learnedModel.dot,randomWp,33,500000,14,True,167,774,90663,882052
./TLS/openssl/1.0.2m/TLS12/learnedModel.dot,randomWp,27,500000,8,True,122,564,35274,311898
./TLS/openssl/1.0.2d/TLS12/learnedModel.dot,randomWp,39,500000,10,True,198,860,23694,216788
./TLS/openssl/1.1.0a/TLS12/learnedModel.dot,randomWp,39,500000,8,True,140,571,58426,515971
./TLS/openssl/1.0.1r/TLS12/learnedModel.dot,randomWp,33,500000,11,True,180,848,1834,16575
./TLS/openssl/1.1.1g/TLS12/learnedModel.dot,randomWp,24,500000,8,True,108,481,20050,176673
./TLS/openssl/0.9.8zh/TLS10/learnedModel.dot,randomWp,15,500000,11,True,218,935,12548,114584
./TLS/openssl/1.0.1/TLS12/learnedModel.dot,randomWp,8,500000,13,True,209,972,37679,359726
./TLS/openssl/1.0.1/TLS10/learnedModel.dot,randomWp,11,500000,14,True,250,1116,20859,201922
./TLS/openssl/0.9.7d/TLS10/learnedModel.dot,randomWp,5,500000,14,True,262,1284,17992,173768
./TLS/openssl/1.0.0p/TLS10/learnedModel.dot,randomWp,5,500000,11,True,166,801,1903,17748
./TLS/openssl/0.9.8y/TLS10/learnedModel.dot,randomWp,13,500000,14,True,245,1149,5385,50091
./TLS/openssl/0.9.8l/TLS10/learnedModel.dot,randomWp,1,500000,10,True,171,741,567,4652
./TLS/openssl/1.0.0m/TLS10/learnedModel.dot,randomWp,5,500000,13,True,179,867,2878,25233
./TLS/openssl/1.0.1d/TLS12/learnedModel.dot,randomWp,2,500000,13,True,191,878,66129,622032
./TLS/openssl/1.0.0g/TLS10/learnedModel.dot,randomWp,4,500000,11,True,167,796,1426,12521
./TLS/mbedtls/1.2.7/TLS12/learnedModel.dot,randomWp,42,500000,6,True,225,896,577,4318
./TLS/mbedtls/1.1.8/TLS11/learnedModel.dot,randomWp,20,500000,6,True,204,797,2354,19047
./TLS/mbedtls/2.7.8/TLS12/learnedModel.dot,randomWp,72,500000,6,True,131,483,97,789
./TLS/mbedtls/3.0.0p1/TLS12/learnedModel.dot,randomWp,99,500000,8,True,174,685,1215,10078
./TLS/mbedtls/2.1.5/TLS12/learnedModel.dot,randomWp,81,500000,6,True,193,779,874,6542
./TLS/mbedtls/1.3.3/TLS12/learnedModel.dot,randomWp,18,500000,6,True,239,935,377,2810
./TLS/openssl/0.9.8a/TLS10/learnedModel.dot,randomWp,33,500000,14,True,264,1246,45345,441470
./TLS/openssl/1.0.2m/TLS12/learnedModel.dot,randomWp,27,500000,8,True,131,622,3958,34730
./TLS/openssl/1.0.2d/TLS12/learnedModel.dot,randomWp,39,500000,10,True,169,800,6108,54777
./TLS/openssl/1.1.0a/TLS12/learnedModel.dot,randomWp,39,500000,8,True,115,521,3540,31294
./TLS/openssl/1.0.1r/TLS12/learnedModel.dot,randomWp,33,500000,11,True,237,1060,4402,39928
./TLS/openssl/1.1.1g/TLS12/learnedModel.dot,randomWp,24,500000,8,True,105,471,5533,48368
./TLS/openssl/0.9.8zh/TLS10/learnedModel.dot,randomWp,15,500000,11,True,223,900,430,3667
./TLS/openssl/1.0.1/TLS12/learnedModel.dot,randomWp,8,500000,13,True,261,1217,26556,256119
./TLS/openssl/1.0.1/TLS10/learnedModel.dot,randomWp,11,500000,14,True,275,1268,3767,34377
./TLS/openssl/0.9.7d/TLS10/learnedModel.dot,randomWp,5,500000,14,True,227,1116,419544,4090618
./TLS/openssl/1.0.0p/TLS10/learnedModel.dot,randomWp,5,500000,11,True,203,885,524,4609
./TLS/openssl/0.9.8y/TLS10/learnedModel.dot,randomWp,13,500000,14,True,260,1236,1739,16105
./TLS/openssl/0.9.8l/TLS10/learnedModel.dot,randomWp,1,500000,10,True,145,614,55,382
./TLS/openssl/1.0.0m/TLS10/learnedModel.dot,randomWp,5,500000,13,True,260,1197,2682,24044
./TLS/openssl/1.0.1d/TLS12/learnedModel.dot,randomWp,2,500000,13,True,269,1154,6949,65184
./TLS/openssl/1.0.0g/TLS10/learnedModel.dot,randomWp,4,500000,11,True,154,713,1265,11047
./TLS/mbedtls/1.2.7/TLS12/learnedModel.dot,randomWp,42,500000,6,True,231,900,416,3277
./TLS/mbedtls/1.1.8/TLS11/learnedModel.dot,randomWp,20,500000,6,True,193,796,1319,10307
./TLS/mbedtls/2.7.8/TLS12/learnedModel.dot,randomWp,72,500000,6,True,120,450,505,3823
./TLS/mbedtls/3.0.0p1/TLS12/learnedModel.dot,randomWp,99,500000,8,True,182,707,113,823
./TLS/mbedtls/2.1.5/TLS12/learnedModel.dot,randomWp,81,500000,6,True,206,818,1124,8574
