algorithm,oracle_type,fingerprint_type,fingerprint_queries,fingerprint_symbols,conformance_queries,conformance_symbols,learning_queries,learning_symbols,correctly_learned_models,found_specifications,no_fingerprint,start_specs
IF,RandomWp100,adg,2235,6517,439552,2957543,16014,103120,595,23,0,11
IF,RandomWp100,adg,2155,6109,441801,2977667,12367,77181,596,22,0,11
IF,RandomWp100,adg,2130,6602,440762,2967421,13826,88445,596,22,0,11
IF,RandomWp100,adg,2040,5831,440271,2962843,13964,87482,596,22,0,11
IF,RandomWp100,adg,2047,5850,430643,2882799,11980,74903,556,22,0,11
IF,RandomWp100,adg,2139,6083,441027,2972531,13283,85019,596,22,0,11
IF,RandomWp100,adg,2153,6674,439533,2956982,14955,94742,595,23,0,11
IF,RandomWp100,adg,2111,6115,440275,2967747,14399,90235,595,23,0,11
IF,RandomWp100,adg,2148,6648,442096,2976640,12483,78723,596,22,0,11
IF,RandomWp100,adg,2076,6485,440948,2971199,13443,86198,596,22,0,11
IF,RandomWp100,adg,2085,5980,450627,3037948,820,4302,596,22,0,21
IF,RandomWp100,adg,2082,5941,450622,3036773,786,4124,596,22,0,21
IF,RandomWp100,adg,2074,6481,450643,3035414,696,3892,596,22,0,21
IF,RandomWp100,adg,2083,5953,449941,3030888,1184,7889,596,22,0,21
IF,RandomWp100,adg,2083,5941,450520,3036276,1368,8895,596,22,0,21
IF,RandomWp100,adg,2074,5907,449596,3029879,1241,7610,594,22,0,21
IF,RandomWp100,adg,2169,6718,450940,3037948,930,6162,596,22,0,21
IF,RandomWp100,adg,2082,5941,450432,3035649,813,4249,596,22,0,21
IF,RandomWp100,adg,2153,6675,450445,3035168,1275,7822,596,22,0,21
IF,RandomWp100,adg,2154,6119,450631,3035917,1123,6919,596,22,0,21
IF,RandomWp100,adg,2083,5944,451333,3041588,0,0,596,22,0,22
IF,RandomWp100,adg,2083,5944,451285,3041722,0,0,596,22,0,22
IF,RandomWp100,adg,2172,6721,451332,3040752,0,0,596,22,0,22
IF,RandomWp100,adg,2180,6181,451431,3040134,0,0,596,22,0,22
IF,RandomWp100,adg,2083,5944,451239,3040609,0,0,596,22,0,22
IF,RandomWp100,adg,2083,5944,451098,3040105,0,0,596,22,0,22
IF,RandomWp100,adg,2075,6484,451436,3042595,0,0,596,22,0,22
IF,RandomWp100,adg,2083,5944,451285,3038680,0,0,596,22,0,22
IF,RandomWp100,adg,2172,6721,450911,3036517,0,0,596,22,0,22
IF,RandomWp100,adg,2083,5944,451239,3041200,0,0,596,22,0,22
