method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,learned_models,len(specifications),start_specs,budget
L#,RandomWp100,RandomWp100,adg,0,0,0,0,394775,2212313,147,67,None,None
L#,RandomWp500,RandomWp500,adg,0,0,0,0,1877899,12413768,403,40,None,None
L#,RandomWp100,RandomWp100,adg,0,0,0,0,392299,2201435,140,76,None,None
L#,RandomWp500,RandomWp500,adg,0,0,0,0,1885231,12469910,410,41,None,None
L#,RandomWp100,RandomWp100,adg,0,0,0,0,400442,2254635,151,70,None,None
L#,RandomWp500,RandomWp500,adg,0,0,0,0,1881832,12441316,407,42,None,None
L#,RandomWp100,RandomWp100,adg,0,0,0,0,404557,2291551,161,72,None,None
L#,RandomWp500,RandomWp500,adg,0,0,0,0,1865740,12337440,395,40,None,None
L#,RandomWp100,RandomWp100,adg,0,0,0,0,386950,2179128,136,68,None,None
L#,RandomWp500,RandomWp500,adg,0,0,0,0,1871115,12371024,397,39,None,None
L#,RandomWp100,RandomWp100,adg,0,0,0,0,394159,2215631,136,68,None,None
L#,RandomWp500,RandomWp500,adg,0,0,0,0,1877050,12416240,408,41,None,None
L#,RandomWp100,RandomWp100,adg,0,0,0,0,397299,2236337,148,73,None,None
L#,RandomWp500,RandomWp500,adg,0,0,0,0,1876789,12407966,404,41,None,None
L#,RandomWp100,RandomWp100,adg,0,0,0,0,387863,2173445,137,67,None,None
L#,RandomWp500,RandomWp500,adg,0,0,0,0,1863153,12298844,391,40,None,None
L#,RandomWp100,RandomWp100,adg,0,0,0,0,386995,2171009,134,71,None,None
L#,RandomWp500,RandomWp500,adg,0,0,0,0,1875922,12403860,403,41,None,None
L#,RandomWp100,RandomWp100,adg,0,0,0,0,391114,2191637,147,71,None,None
L#,RandomWp500,RandomWp500,adg,0,0,0,0,1869064,12360863,398,42,None,None
