algorithm,oracle_type,fingerprint_type,fingerprint_queries,fingerprint_symbols,conformance_queries,conformance_symbols,learning_queries,learning_symbols,correctly_learned_models,found_specifications,no_fingerprint,start_specs
SepSeq,None,sep_seq,2685,5661,0,0,0,0,368,11,0,11
SepSeq,None,sep_seq,1656,4012,0,0,0,0,248,11,0,11
SepSeq,None,sep_seq,2260,5977,0,0,0,0,346,11,20,11
SepSeq,None,sep_seq,1958,5082,0,0,0,0,368,11,0,11
SepSeq,None,sep_seq,2241,5681,0,0,0,0,313,11,63,11
SepSeq,None,sep_seq,2572,5533,0,0,0,0,298,11,43,11
SepSeq,None,sep_seq,1790,3990,0,0,0,0,299,11,0,11
SepSeq,None,sep_seq,2157,4087,0,0,0,0,349,11,0,11
SepSeq,None,sep_seq,2239,5709,0,0,0,0,198,11,4,11
SepSeq,None,sep_seq,2001,5456,0,0,0,0,307,11,0,11
SepSeq,None,sep_seq,2737,6863,0,0,0,0,554,21,0,21
SepSeq,None,sep_seq,2699,6647,0,0,0,0,576,21,0,21
SepSeq,None,sep_seq,2485,6851,0,0,0,0,524,21,0,21
SepSeq,None,sep_seq,2950,8543,0,0,0,0,557,21,0,21
SepSeq,None,sep_seq,3317,8365,0,0,0,0,563,21,0,21
SepSeq,None,sep_seq,2554,6321,0,0,0,0,594,21,0,21
SepSeq,None,sep_seq,3036,8900,0,0,0,0,569,21,0,21
SepSeq,None,sep_seq,2516,6035,0,0,0,0,576,21,0,21
SepSeq,None,sep_seq,3316,9143,0,0,0,0,581,21,0,21
SepSeq,None,sep_seq,2986,7616,0,0,0,0,595,21,0,21
SepSeq,None,sep_seq,2576,6763,0,0,0,0,596,22,0,22
SepSeq,None,sep_seq,3438,8183,0,0,0,0,596,22,0,22
SepSeq,None,sep_seq,2701,7565,0,0,0,0,596,22,0,22
SepSeq,None,sep_seq,2814,7603,0,0,0,0,596,22,0,22
SepSeq,None,sep_seq,2782,6971,0,0,0,0,596,22,0,22
SepSeq,None,sep_seq,2703,6992,0,0,0,0,596,22,0,22
SepSeq,None,sep_seq,2992,8404,0,0,0,0,596,22,0,22
SepSeq,None,sep_seq,2669,6709,0,0,0,0,596,22,0,22
SepSeq,None,sep_seq,2384,5828,0,0,0,0,596,22,0,22
SepSeq,None,sep_seq,3660,9972,0,0,0,0,596,22,0,22
