method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,learned_models,len(specifications),start_specs,budget
IF-AL#,RandomWpBudget,RandomWpBudget,adg,64,84,17,77587,1541,20707,39,9,0,2500
IF-L#,RandomWpBudget,RandomWpBudget,adg,64,84,20,77725,1501,20629,39,9,0,2500
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,5755,94245,35,11,0,2500
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,5512,94495,39,9,0,2500
IF-AL#,RandomWpBudget,RandomWpBudget,adg,64,84,20,77712,1506,20615,39,9,0,2500
IF-L#,RandomWpBudget,RandomWpBudget,adg,64,84,35,77867,1544,20406,39,9,0,2500
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,5878,94187,34,12,0,2500
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,5573,94427,39,9,0,2500
IF-AL#,RandomWpBudget,RandomWpBudget,adg,62,76,5,79927,1163,18767,40,8,0,2500
IF-L#,RandomWpBudget,RandomWpBudget,adg,62,76,11,80036,1132,18683,40,8,0,2500
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,5833,94203,35,12,0,2500
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,5504,94498,39,9,0,2500
IF-AL#,RandomWpBudget,RandomWpBudget,adg,63,81,136,77103,1844,20779,38,10,0,2500
IF-L#,RandomWpBudget,RandomWpBudget,adg,62,76,6,79927,1155,18774,40,8,0,2500
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,5863,94181,36,11,0,2500
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,5507,94493,40,8,0,2500
IF-AL#,RandomWpBudget,RandomWpBudget,adg,66,90,44,75674,1892,22234,38,10,0,2500
IF-L#,RandomWpBudget,RandomWpBudget,adg,63,89,46,70753,2552,26528,36,12,0,2500
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,5766,94255,35,13,0,2500
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,5530,94470,40,8,0,2500
IF-AL#,RandomWpBudget,RandomWpBudget,adg,63,81,119,76784,1845,21108,38,10,0,2500
IF-L#,RandomWpBudget,RandomWpBudget,adg,61,75,398,76388,2036,21058,35,9,0,2500
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,5800,94209,35,11,0,2500
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,5478,94522,40,8,0,2500
IF-AL#,RandomWpBudget,RandomWpBudget,adg,62,76,9,79997,1202,18654,40,8,0,2500
IF-L#,RandomWpBudget,RandomWpBudget,adg,62,76,6,79994,1180,18682,40,8,0,2500
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,6013,93987,38,10,0,2500
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,5504,94496,40,8,0,2500
IF-AL#,RandomWpBudget,RandomWpBudget,adg,62,76,5,80003,1174,18680,40,8,0,2500
IF-L#,RandomWpBudget,RandomWpBudget,adg,68,88,148,72352,2560,24785,36,12,0,2500
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,5800,94234,35,13,0,2500
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,5443,94584,39,9,0,2500
IF-AL#,RandomWpBudget,RandomWpBudget,adg,62,76,13,80072,1194,18583,40,8,0,2500
IF-L#,RandomWpBudget,RandomWpBudget,adg,62,76,4,79959,1183,18716,40,8,0,2500
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,5781,94260,36,12,0,2500
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,5454,94546,40,8,0,2500
