method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,learned_models,len(specifications),start_specs,budget
IF-AL#,RandomWpBudget,RandomWpBudget,adg,47,119,186,232947,5486,61215,29,7,0,10000
IF-L#,RandomWpBudget,RandomWpBudget,adg,65,191,710,221437,6579,71034,27,9,0,10000
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,25806,274264,16,14,0,10000
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,21697,278310,29,7,0,10000
IF-AL#,RandomWpBudget,RandomWpBudget,adg,57,124,4,239920,4503,55392,30,6,0,10000
IF-L#,RandomWpBudget,RandomWpBudget,adg,45,181,743,232709,5677,60676,28,7,0,10000
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,25857,274221,18,15,0,10000
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,22259,277800,27,7,0,10000
IF-AL#,RandomWpBudget,RandomWpBudget,adg,61,145,1021,225681,6378,66718,27,9,0,10000
IF-L#,RandomWpBudget,RandomWpBudget,adg,65,179,372,215691,7307,76409,27,9,0,10000
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,25137,274983,18,13,0,10000
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,21466,278548,28,8,0,10000
IF-AL#,RandomWpBudget,RandomWpBudget,adg,64,163,1731,217718,6505,73841,24,9,0,10000
IF-L#,RandomWpBudget,RandomWpBudget,adg,60,235,97,211334,7610,80678,27,9,0,10000
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,25027,275121,15,10,0,10000
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,22417,277600,25,8,0,10000
IF-AL#,RandomWpBudget,RandomWpBudget,adg,60,144,2028,223083,6547,68172,25,9,0,10000
IF-L#,RandomWpBudget,RandomWpBudget,adg,58,224,777,212700,7243,79020,26,9,0,10000
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,25519,274562,21,13,0,10000
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,21510,278497,27,8,0,10000
IF-AL#,RandomWpBudget,RandomWpBudget,adg,45,126,299,234941,5187,59421,29,7,0,10000
IF-L#,RandomWpBudget,RandomWpBudget,adg,62,157,651,220185,6753,72217,27,8,0,10000
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,25704,274354,14,15,0,10000
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,22035,278006,26,9,0,10000
IF-AL#,RandomWpBudget,RandomWpBudget,adg,64,178,2050,222942,6063,68769,24,9,0,10000
IF-L#,RandomWpBudget,RandomWpBudget,adg,60,164,1550,214105,7102,77041,25,10,0,10000
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,25873,274131,21,11,0,10000
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,21345,278655,29,7,0,10000
IF-AL#,RandomWpBudget,RandomWpBudget,adg,60,142,274,234282,4966,60281,29,7,0,10000
IF-L#,RandomWpBudget,RandomWpBudget,adg,73,215,3037,197837,9164,89724,21,13,0,10000
