method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,learned_models,len(specifications),start_specs,budget
IF-AL#,RandomWpBudget,RandomWpBudget,adg,57,114,8,2399963,16457,583401,30,6,0,100000
IF-L#,RandomWpBudget,RandomWpBudget,adg,57,114,6,2399925,16242,583656,30,6,0,100000
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,85378,2914632,29,7,0,100000
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,71455,2928552,29,7,0,100000
IF-AL#,RandomWpBudget,RandomWpBudget,adg,59,128,3904,2277459,26374,692077,28,8,0,100000
IF-L#,RandomWpBudget,RandomWpBudget,adg,59,130,4953,2297430,25108,672349,28,7,0,100000
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,85855,2914148,28,8,0,100000
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,71327,2928682,29,7,0,100000
IF-AL#,RandomWpBudget,RandomWpBudget,adg,57,114,9,2400009,17730,582081,30,6,0,100000
IF-L#,RandomWpBudget,RandomWpBudget,adg,56,157,6002,2118610,44244,830980,26,10,0,100000
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,87105,2912936,25,10,0,100000
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,71521,2928487,29,7,0,100000
IF-AL#,RandomWpBudget,RandomWpBudget,adg,57,114,5,2399920,16794,583110,30,6,0,100000
IF-L#,RandomWpBudget,RandomWpBudget,adg,55,167,936,2218208,33021,747657,28,8,0,100000
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,87709,2912379,25,10,0,100000
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,69900,2930100,30,6,0,100000
IF-AL#,RandomWpBudget,RandomWpBudget,adg,60,135,842,2316100,23288,659586,29,7,0,100000
IF-L#,RandomWpBudget,RandomWpBudget,adg,60,135,308,2305724,25250,668524,29,7,0,100000
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,88307,2911745,25,10,0,100000
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,71460,2928545,29,7,0,100000
IF-AL#,RandomWpBudget,RandomWpBudget,adg,60,138,432,2308412,22143,668835,29,7,0,100000
IF-L#,RandomWpBudget,RandomWpBudget,adg,60,138,2107,2341883,22987,632831,29,7,0,100000
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,85872,2914198,26,9,0,100000
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,70016,2930016,29,7,0,100000
IF-AL#,RandomWpBudget,RandomWpBudget,adg,62,151,426,2208200,31140,760028,28,8,0,100000
IF-L#,RandomWpBudget,RandomWpBudget,adg,52,167,1218,2123658,40872,834053,27,9,0,100000
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,83801,2916220,29,7,0,100000
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,71162,2928842,29,7,0,100000
IF-AL#,RandomWpBudget,RandomWpBudget,adg,60,135,433,2308036,24736,666629,29,7,0,100000
IF-L#,RandomWpBudget,RandomWpBudget,adg,57,114,8,2399986,17714,582121,30,6,0,100000
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,87683,2912331,28,8,0,100000
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,71638,2928375,29,7,0,100000
IF-AL#,RandomWpBudget,RandomWpBudget,adg,57,114,17,2400069,17099,582644,30,6,0,100000
IF-L#,RandomWpBudget,RandomWpBudget,adg,60,135,102,2301904,24052,673778,29,7,0,100000
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,85752,2914259,28,8,0,100000
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,68527,2931473,30,6,0,100000
IF-AL#,RandomWpBudget,RandomWpBudget,adg,60,135,338,2306324,24509,668641,29,7,0,100000
IF-L#,RandomWpBudget,RandomWpBudget,adg,60,138,867,2316787,24595,657567,29,7,0,100000
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,85831,2914210,26,10,0,100000
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,73202,2926816,28,8,0,100000
IF-AL#,RandomWpBudget,RandomWpBudget,adg,60,135,18,2300130,23859,675821,29,7,0,100000
IF-L#,RandomWpBudget,RandomWpBudget,adg,57,114,10,2399982,16449,583388,30,6,0,100000
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,87880,2912161,26,10,0,100000
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,70105,2929895,30,6,0,100000
IF-AL#,RandomWpBudget,RandomWpBudget,adg,60,135,21,2300225,23890,675686,29,7,0,100000
IF-L#,RandomWpBudget,RandomWpBudget,adg,60,138,1352,2326571,23455,648434,29,7,0,100000
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,87617,2912399,26,10,0,100000
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,73242,2926771,29,7,0,100000
IF-AL#,RandomWpBudget,RandomWpBudget,adg,60,135,319,2305956,22969,670566,29,7,0,100000
IF-L#,RandomWpBudget,RandomWpBudget,adg,60,135,208,2303963,25842,669809,29,7,0,100000
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,86479,2913550,26,10,0,100000
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,71035,2928965,30,6,0,100000
IF-AL#,RandomWpBudget,RandomWpBudget,adg,60,135,305,2305712,23122,670673,29,7,0,100000
IF-L#,RandomWpBudget,RandomWpBudget,adg,57,114,9,2399981,16587,583252,30,6,0,100000
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,86440,2913586,26,10,0,100000
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,70581,2929419,30,6,0,100000
IF-AL#,RandomWpBudget,RandomWpBudget,adg,60,135,474,2309079,22748,667542,29,7,0,100000
IF-L#,RandomWpBudget,RandomWpBudget,adg,60,138,662,2313033,24768,661341,29,7,0,100000
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,86068,2913958,26,10,0,100000
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,71400,2928603,29,7,0,100000
IF-AL#,RandomWpBudget,RandomWpBudget,adg,60,141,399,2307938,23816,667657,29,7,0,100000
IF-L#,RandomWpBudget,RandomWpBudget,adg,60,141,502,2309875,23761,665664,29,7,0,100000
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,85755,2914268,26,10,0,100000
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,71927,2928087,29,7,0,100000
IF-AL#,RandomWpBudget,RandomWpBudget,adg,60,138,273,2305054,22155,672332,29,7,0,100000
IF-L#,RandomWpBudget,RandomWpBudget,adg,57,114,7,2399949,17209,582664,30,6,0,100000
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,86046,2914016,27,9,0,100000
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,70834,2929177,29,7,0,100000
IF-AL#,RandomWpBudget,RandomWpBudget,adg,60,135,877,2317129,22015,659787,29,7,0,100000
IF-L#,RandomWpBudget,RandomWpBudget,adg,60,135,974,2319406,23014,656441,29,7,0,100000
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,86487,2913533,27,9,0,100000
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,71067,2928934,29,7,0,100000
IF-AL#,RandomWpBudget,RandomWpBudget,adg,60,138,75,2301165,22965,675600,29,7,0,100000
IF-L#,RandomWpBudget,RandomWpBudget,adg,57,114,9,2399971,16816,583033,30,6,0,100000
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,85975,2914105,26,10,0,100000
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,69833,2930167,30,6,0,100000
IF-AL#,RandomWpBudget,RandomWpBudget,adg,57,114,6,2399947,16014,583862,30,6,0,100000
IF-L#,RandomWpBudget,RandomWpBudget,adg,60,138,247,2304495,25509,669564,29,7,0,100000
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,86739,2913304,26,10,0,100000
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,71108,2928894,29,7,0,100000
