method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,learned_models,len(specifications),start_specs,budget
IF-AL#,RandomWpBudget,RandomWpBudget,adg,331,1218,79179,58656519,292478,15970356,95,22,0,750000
IF-L#,RandomWpBudget,RandomWpBudget,adg,332,1458,125430,55829788,466658,18576485,90,28,0,750000
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,1438933,73561384,81,34,0,750000
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,485697,74514383,94,24,0,750000
IF-AL#,RandomWpBudget,RandomWpBudget,adg,268,1483,119710,58030697,302246,16545658,94,25,0,750000
IF-L#,RandomWpBudget,RandomWpBudget,adg,328,1606,172418,55140438,588413,19096936,88,29,0,750000
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,1732808,73267471,78,37,0,750000
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,531114,74468940,92,24,0,750000
IF-AL#,RandomWpBudget,RandomWpBudget,adg,330,1497,161181,56669794,276610,17890654,91,26,0,750000
IF-L#,RandomWpBudget,RandomWpBudget,adg,341,1491,159857,56519892,437330,17881223,90,28,0,750000
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,1714472,73285811,75,39,0,750000
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,599826,74400253,91,26,0,750000
IF-AL#,RandomWpBudget,RandomWpBudget,adg,245,1382,62715,56118366,340206,18477156,93,26,0,750000
IF-L#,RandomWpBudget,RandomWpBudget,adg,367,1743,245834,55281656,521419,18949113,87,30,0,750000
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,1634867,73365483,77,35,0,750000
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,614667,74385424,91,26,0,750000
IF-AL#,RandomWpBudget,RandomWpBudget,adg,272,1616,64278,57598061,303448,17032384,95,25,0,750000
IF-L#,RandomWpBudget,RandomWpBudget,adg,318,1430,136891,56758589,443072,17659779,91,26,0,750000
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,1704115,73296149,77,34,0,750000
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,568749,74431360,91,26,0,750000
IF-AL#,RandomWpBudget,RandomWpBudget,adg,340,1258,100157,58394880,261909,16241519,94,23,0,750000
IF-L#,RandomWpBudget,RandomWpBudget,adg,310,1487,70346,57789089,382929,16755929,95,25,0,750000
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,1563750,73436476,78,36,0,750000
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,616441,74383691,90,28,0,750000
IF-AL#,RandomWpBudget,RandomWpBudget,adg,269,1537,25444,56762126,355424,17855248,95,25,0,750000
IF-L#,RandomWpBudget,RandomWpBudget,adg,327,1320,118863,56445552,429980,18004130,91,27,0,750000
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,1631396,73368895,76,38,0,750000
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,570046,74430065,92,26,0,750000
IF-AL#,RandomWpBudget,RandomWpBudget,adg,258,1444,89036,57343299,284586,17281456,94,25,0,750000
IF-L#,RandomWpBudget,RandomWpBudget,adg,290,1359,180531,55265880,467308,19084779,88,28,0,750000
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,1709871,73290450,77,33,0,750000
