method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,learned_models,len(specifications),start_specs,budget
IF-AL#,RandomWpBudget,RandomWpBudget,adg,1951,7057,5442,57383247,20696,2181607,595,23,0,100000
IF-L#,RandomWpBudget,RandomWpBudget,adg,2097,7093,66355,56870248,64142,2590163,580,28,0,100000
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,1429341,58171849,467,38,0,100000
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,413273,59187071,556,24,0,100000
IF-AL#,RandomWpBudget,RandomWpBudget,adg,2186,7901,65573,57089494,26390,2408615,582,25,0,100000
IF-L#,RandomWpBudget,RandomWpBudget,adg,2134,8269,19206,56999259,49220,2522010,589,27,0,100000
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,1406014,58195275,486,35,0,100000
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,358218,59241999,567,24,0,100000
IF-AL#,RandomWpBudget,RandomWpBudget,adg,2040,6965,69699,57163945,21291,2336159,582,24,0,100000
IF-L#,RandomWpBudget,RandomWpBudget,adg,1998,6773,212975,56886664,51979,2440048,554,26,0,100000
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,1431383,58169799,470,39,0,100000
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,391521,59208857,561,25,0,100000
IF-AL#,RandomWpBudget,RandomWpBudget,adg,2033,6915,108969,57123974,19972,2338325,575,24,0,100000
IF-L#,RandomWpBudget,RandomWpBudget,adg,2154,8378,46406,56851836,66354,2624941,582,29,0,100000
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,1427426,58173870,468,35,0,100000
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,234397,59365665,591,24,0,100000
IF-AL#,RandomWpBudget,RandomWpBudget,adg,2008,6860,132535,57118702,21513,2318630,571,24,0,100000
IF-L#,RandomWpBudget,RandomWpBudget,adg,2099,7397,35489,57069826,63912,2421383,586,26,0,100000
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,1451201,58150224,460,38,0,100000
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,312795,59287474,576,26,0,100000
IF-AL#,RandomWpBudget,RandomWpBudget,adg,2016,7102,211984,57156941,31240,2191121,556,23,0,100000
