method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,false_positives,false_negatives,learned_models,len(specifications),start_specs
AL#,WpK,WpK,None,0,0,0,0,225465,1251326,0,0,40,8,None
IF-AL#,WpK,WpK,sep_seq,106,122,179639,999233,44943,249916,0,0,40,8,None
IF-AL#,WpK,WpK,adg,80,96,179640,999230,44947,249924,0,0,40,8,None
IF-L#,WpK,WpK,sep_seq,106,122,179639,999233,44885,249706,0,0,40,8,None
IF-L#,WpK,WpK,adg,80,96,179640,999230,44915,249764,0,0,40,8,None
L#,WpK,WpK,None,0,0,0,0,225436,1251427,0,0,40,8,None
AL#,RandomWp100,RandomWp100,None,0,0,0,0,23732,130000,0,0,40,8,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,106,122,15712,93307,4728,26130,0,0,40,8,None
IF-AL#,RandomWp100,RandomWp100,adg,80,96,15797,93395,4759,26189,0,0,40,8,None
IF-L#,RandomWp100,RandomWp100,sep_seq,106,122,15821,93726,4839,26910,0,0,40,8,None
IF-L#,RandomWp100,RandomWp100,adg,80,96,15973,94595,4711,26093,0,0,40,8,None
L#,RandomWp100,RandomWp100,None,0,0,0,0,23788,131157,1,0,39,8,None
AL#,RandomWord1000,RandomWord1000,None,0,0,0,0,45418,818101,0,0,40,8,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,106,122,32008,639712,9145,163559,0,0,40,8,None
IF-AL#,RandomWord1000,RandomWord1000,adg,80,96,32007,640418,9130,164337,0,0,40,8,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,106,122,32006,639015,9065,163446,0,0,40,8,None
IF-L#,RandomWord1000,RandomWord1000,adg,80,96,32004,641427,9093,164403,0,0,40,8,None
L#,RandomWord1000,RandomWord1000,None,0,0,0,0,45505,821492,0,0,40,8,None
AL#,WpK,WpK,None,0,0,0,0,225465,1251326,0,0,40,8,None
IF-AL#,WpK,WpK,sep_seq,106,122,179639,999233,44943,249916,0,0,40,8,None
IF-AL#,WpK,WpK,adg,80,96,179640,999230,44947,249924,0,0,40,8,None
IF-L#,WpK,WpK,sep_seq,106,122,179639,999233,44885,249706,0,0,40,8,None
IF-L#,WpK,WpK,adg,80,96,179640,999230,44915,249764,0,0,40,8,None
L#,WpK,WpK,None,0,0,0,0,225436,1251427,0,0,40,8,None
AL#,RandomWp100,RandomWp100,None,0,0,0,0,23761,130609,0,0,40,8,None
