method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,false_positives,false_negatives,learned_models,len(specifications),start_specs
AL#,WpK,WpK,None,0,0,0,0,15323406,114877277,0,0,30,6,None
IF-AL#,WpK,WpK,sep_seq,72,152,12250375,91862473,3066315,22982435,0,0,30,6,None
IF-AL#,WpK,WpK,adg,65,138,12250374,91862470,3066076,22981249,0,0,30,6,None
IF-L#,WpK,WpK,sep_seq,72,152,12250375,91862473,3065159,22977502,0,0,30,6,None
IF-L#,WpK,WpK,adg,65,138,12250374,91862470,3064929,22975959,0,0,30,6,None
L#,WpK,WpK,None,0,0,0,0,15325834,114880247,0,0,30,6,None
AL#,RandomWp100,RandomWp100,None,0,0,0,0,35608,210223,0,5,24,11,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,95,310,16001,112805,9049,54456,0,1,29,7,None
IF-AL#,RandomWp100,RandomWp100,adg,87,200,15761,110819,9238,56002,0,2,28,8,None
IF-L#,RandomWp100,RandomWp100,sep_seq,77,174,15017,102903,8455,51106,0,2,22,8,None
IF-L#,RandomWp100,RandomWp100,adg,83,288,13639,92767,10486,61078,0,4,22,10,None
L#,RandomWp100,RandomWp100,None,0,0,0,0,25456,135231,0,9,12,15,None
AL#,RandomWord1000,RandomWord1000,None,0,0,0,0,46989,677294,0,1,6,7,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,83,206,20577,412804,16027,242385,0,5,7,11,None
IF-AL#,RandomWord1000,RandomWord1000,adg,66,211,20736,413631,16281,230270,0,4,16,10,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,80,197,21984,438369,14258,217484,0,4,7,10,None
IF-L#,RandomWord1000,RandomWord1000,adg,72,159,23017,460337,11296,173151,0,2,5,8,None
L#,RandomWord1000,RandomWord1000,None,0,0,0,0,41433,642253,0,6,5,12,None
AL#,WpK,WpK,None,0,0,0,0,15323406,114877277,0,0,30,6,None
IF-AL#,WpK,WpK,sep_seq,72,152,12250375,91862473,3066040,22981012,0,0,30,6,None
IF-AL#,WpK,WpK,adg,65,138,12250374,91862470,3066160,22981516,0,0,30,6,None
IF-L#,WpK,WpK,sep_seq,72,152,12250375,91862473,3065223,22978147,0,0,30,6,None
IF-L#,WpK,WpK,adg,65,138,12250374,91862470,3064817,22975201,0,0,30,6,None
L#,WpK,WpK,None,0,0,0,0,15325935,114881058,0,0,30,6,None
AL#,RandomWp100,RandomWp100,None,0,0,0,0,38391,230157,0,1,28,7,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,98,384,15678,110106,10092,62070,0,2,28,8,None
IF-AL#,RandomWp100,RandomWp100,adg,77,197,11392,75581,12249,71815,0,7,19,13,None
IF-L#,RandomWp100,RandomWp100,sep_seq,78,184,14398,99046,10069,61053,0,3,24,9,None
IF-L#,RandomWp100,RandomWp100,adg,80,218,13540,93754,10269,60544,0,5,24,11,None
L#,RandomWp100,RandomWp100,None,0,0,0,0,24138,128324,0,10,10,16,None
AL#,RandomWord1000,RandomWord1000,None,0,0,0,0,47521,680726,0,5,13,11,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,76,172,22834,456593,11807,176395,0,2,5,8,None
