method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,false_positives,false_negatives,learned_models,len(specifications),start_specs
AL#,WpK,WpK,None,0,0,0,0,21283737,174327484,0,0,30,6,None
IF-AL#,WpK,WpK,sep_seq,52,104,16997873,139254875,4276857,35035400,0,0,30,6,None
IF-AL#,WpK,WpK,adg,52,104,16997873,139254875,4276857,35035400,0,0,30,6,None
IF-L#,WpK,WpK,sep_seq,52,104,16952437,138831059,4262927,34908993,0,0,30,6,None
IF-L#,WpK,WpK,adg,52,104,16952437,138831059,4262927,34908993,0,0,30,6,None
L#,WpK,WpK,None,0,0,0,0,21332255,174721357,0,0,30,6,None
AL#,RandomWp100,RandomWp100,None,0,0,0,0,132010,958591,0,0,30,6,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,55,125,50605,410763,35429,267287,0,1,29,7,None
IF-AL#,RandomWp100,RandomWp100,adg,52,104,55397,458100,28487,210268,0,0,30,6,None
IF-L#,RandomWp100,RandomWp100,sep_seq,58,122,51714,430748,36065,262509,0,2,28,8,None
IF-L#,RandomWp100,RandomWp100,adg,60,128,54658,453403,29169,216709,0,1,29,7,None
L#,RandomWp100,RandomWp100,None,0,0,0,0,144389,1076160,0,2,27,8,None
AL#,RandomWord1000,RandomWord1000,None,0,0,0,0,90223,948515,0,5,24,11,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,60,151,22019,440771,29395,304041,0,3,24,9,None
IF-AL#,RandomWord1000,RandomWord1000,adg,48,203,21750,435478,41485,413520,0,5,24,11,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,89,302,19042,379747,40976,426278,0,6,23,12,None
IF-L#,RandomWord1000,RandomWord1000,adg,50,213,19896,397186,39569,404262,0,5,24,11,None
L#,RandomWord1000,RandomWord1000,None,0,0,0,0,84575,910098,0,12,17,18,None
AL#,WpK,WpK,None,0,0,0,0,21283737,174327484,0,0,30,6,None
IF-AL#,WpK,WpK,sep_seq,52,104,16997873,139254875,4276857,35035400,0,0,30,6,None
IF-AL#,WpK,WpK,adg,52,104,16997873,139254875,4276857,35035400,0,0,30,6,None
IF-L#,WpK,WpK,sep_seq,52,104,16952437,138831059,4262927,34908993,0,0,30,6,None
IF-L#,WpK,WpK,adg,52,104,16952437,138831059,4262927,34908993,0,0,30,6,None
L#,WpK,WpK,None,0,0,0,0,21332255,174721357,0,0,30,6,None
AL#,RandomWp100,RandomWp100,None,0,0,0,0,131401,954223,0,0,30,6,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,52,104,55341,457534,28823,215753,0,0,30,6,None
IF-AL#,RandomWp100,RandomWp100,adg,52,104,55272,456781,28635,212645,0,0,30,6,None
IF-L#,RandomWp100,RandomWp100,sep_seq,55,113,55032,455991,29885,223075,0,1,29,7,None
IF-L#,RandomWp100,RandomWp100,adg,60,128,54832,454583,30411,225284,0,1,29,7,None
L#,RandomWp100,RandomWp100,None,0,0,0,0,143236,1067185,0,3,27,9,None
AL#,RandomWord1000,RandomWord1000,None,0,0,0,0,88326,934195,0,4,25,10,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,58,146,20568,412632,37444,376932,0,4,21,10,None
IF-AL#,RandomWord1000,RandomWord1000,adg,53,198,21328,426558,38027,382610,0,4,24,10,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,60,154,21331,427027,33423,345444,0,4,20,10,None
IF-L#,RandomWord1000,RandomWord1000,adg,65,272,19949,398000,40151,409604,0,5,24,11,None
L#,RandomWord1000,RandomWord1000,None,0,0,0,0,84127,908170,0,9,20,15,None
AL#,WpK,WpK,None,0,0,0,0,21283550,174326414,0,0,30,6,None
IF-AL#,WpK,WpK,sep_seq,52,104,16997873,139254875,4275284,35020141,0,0,30,6,None
IF-AL#,WpK,WpK,adg,52,104,16997873,139254875,4275492,35022007,0,0,30,6,None
IF-L#,WpK,WpK,sep_seq,52,104,16966069,138955691,4265641,34950175,0,0,30,6,None
IF-L#,WpK,WpK,adg,52,104,16952437,138831059,4262917,34908855,0,0,30,6,None
L#,WpK,WpK,None,0,0,0,0,21319509,174609290,0,0,30,6,None
AL#,RandomWp100,RandomWp100,None,0,0,0,0,132664,961092,0,0,30,6,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,52,104,55411,458195,28925,216336,0,0,30,6,None
IF-AL#,RandomWp100,RandomWp100,adg,52,104,55331,457454,28597,215097,0,0,30,6,None
IF-L#,RandomWp100,RandomWp100,sep_seq,58,134,50845,416198,39934,310893,0,2,28,8,None
IF-L#,RandomWp100,RandomWp100,adg,52,144,53487,443018,33061,245511,0,1,29,7,None
L#,RandomWp100,RandomWp100,None,0,0,0,0,143909,1072693,0,3,27,9,None
AL#,RandomWord1000,RandomWord1000,None,0,0,0,0,92816,973516,0,6,22,12,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,61,163,21193,425142,37844,377990,0,4,24,10,None
IF-AL#,RandomWord1000,RandomWord1000,adg,44,189,21077,421503,38437,380861,0,4,25,10,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,66,182,18550,369951,51655,528504,0,8,19,14,None
IF-L#,RandomWord1000,RandomWord1000,adg,53,207,19777,396729,41862,426294,0,5,24,11,None
L#,RandomWord1000,RandomWord1000,None,0,0,0,0,87972,951989,0,13,15,19,None
AL#,WpK,WpK,None,0,0,0,0,21284696,174337650,0,0,30,6,None
IF-AL#,WpK,WpK,sep_seq,52,104,16997873,139254875,4275702,35023769,0,0,30,6,None
IF-AL#,WpK,WpK,adg,52,104,16997873,139254875,4275350,35020913,0,0,30,6,None
