method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,false_positives,false_negatives,learned_models,len(specifications),start_specs
AL#,WpK,WpK,-,0,0,0,0,21495874,130876645,0,0,558,22,None
IF-AL#,WpK,WpK,sep_seq,2857,7041,20698507,126002384,794132,4979431,0,0,558,22,None
IF-AL#,WpK,WpK,adg,2082,6413,20698107,126000853,794146,4979429,0,0,558,22,None
IF-L#,WpK,WpK,sep_seq,2857,7041,20673925,125873699,790449,4959841,0,0,558,22,None
IF-L#,WpK,WpK,adg,2082,6413,20673521,125872153,791568,4965304,0,0,558,22,None
L#,WpK,WpK,-,0,0,0,0,21379721,130388392,0,0,558,22,None
AL#,RandomWp100,RandomWp100,-,0,0,0,0,595068,3556015,0,1,556,23,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,3048,7833,428535,2879285,26324,166595,0,2,584,24,None
IF-AL#,RandomWp100,RandomWp100,adg,2422,7963,410984,2735080,29478,186315,3,8,529,30,None
IF-L#,RandomWp100,RandomWp100,sep_seq,3343,8606,405617,2677593,30908,197852,2,10,490,32,None
IF-L#,RandomWp100,RandomWp100,adg,2350,8399,408907,2711509,35621,229948,0,12,515,34,None
L#,RandomWp100,RandomWp100,-,0,0,0,0,391865,2204977,145,42,142,64,None
AL#,RandomWord1000,RandomWord1000,-,0,0,0,0,777090,12646730,15,13,523,35,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,3144,8114,575591,11510193,32726,564353,42,6,321,27,None
IF-AL#,RandomWord1000,RandomWord1000,adg,2145,6327,577199,11539551,28683,485176,56,2,382,23,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,3021,7510,570100,11398996,40534,721004,119,15,224,35,None
IF-L#,RandomWord1000,RandomWord1000,adg,2168,6684,571897,11436820,39080,685204,84,13,286,33,None
L#,RandomWord1000,RandomWord1000,-,0,0,0,0,700199,12284058,132,68,123,89,None
AL#,WpK,WpK,-,0,0,0,0,21504728,130956668,0,0,558,22,None
IF-AL#,WpK,WpK,sep_seq,2857,7041,20698507,126002384,794132,4979431,0,0,558,22,None
IF-AL#,WpK,WpK,adg,2082,6413,20698107,126000853,794146,4979429,0,0,558,22,None
IF-L#,WpK,WpK,sep_seq,2857,7041,20673925,125873699,790449,4959841,0,0,558,22,None
IF-L#,WpK,WpK,adg,2082,6413,20673521,125872153,791568,4965304,0,0,558,22,None
L#,WpK,WpK,-,0,0,0,0,21379721,130388392,0,0,558,22,None
AL#,RandomWp100,RandomWp100,-,0,0,0,0,588120,3522042,2,6,549,28,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,2979,7648,417335,2787673,26527,168778,2,3,539,25,None
IF-AL#,RandomWp100,RandomWp100,adg,2126,6717,409692,2723127,31656,198333,1,9,527,31,None
IF-L#,RandomWp100,RandomWp100,sep_seq,3298,9028,384530,2491928,32546,202229,5,16,416,38,None
IF-L#,RandomWp100,RandomWp100,adg,2661,9285,405114,2687898,34026,215082,1,14,511,36,None
L#,RandomWp100,RandomWp100,-,0,0,0,0,394342,2214980,160,45,152,67,None
AL#,RandomWord1000,RandomWord1000,-,0,0,0,0,781583,12648165,6,12,532,34,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,2671,6327,578668,11574046,28653,484472,45,2,393,23,None
IF-AL#,RandomWord1000,RandomWord1000,adg,2178,6560,574021,11482090,34941,589779,79,7,318,28,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,2984,7691,574318,11483979,35974,640300,39,11,300,31,None
IF-L#,RandomWord1000,RandomWord1000,adg,2457,8160,573236,11457740,34386,601304,27,9,312,29,None
L#,RandomWord1000,RandomWord1000,-,0,0,0,0,698869,12260396,128,63,107,84,None
