method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,false_positives,false_negatives,learned_models,len(specifications),b
IF-AL#,RandomWp25,RandomWp25,adg,283,1333,56168,495418,101414,816039,0,19,42,39,None
IF-AL#,RandomWp50,RandomWp50,adg,323,1376,116229,1027440,121986,1050042,0,15,44,35,None
IF-AL#,RandomWp100,RandomWp100,adg,321,1310,258191,2403147,147066,1335812,0,8,72,28,None
IF-AL#,RandomWp500,RandomWp500,adg,371,1295,1242540,12044961,416792,3912595,0,4,81,24,None
IF-AL#,RandomWp500,RandomWp500,adg,347,1479,1195820,11390938,493534,4835886,0,7,85,27,None
IF-AL#,RandomWp25,RandomWp25,adg,329,1464,57271,501310,91249,728295,0,16,48,36,None
IF-AL#,RandomWp50,RandomWp50,adg,266,1260,131313,1183611,93239,790871,0,6,54,26,None
IF-AL#,RandomWp100,RandomWp100,adg,270,1446,246427,2237361,162681,1477615,0,10,66,30,None
IF-AL#,RandomWp500,RandomWp500,adg,284,1213,1250959,12169757,404395,3798447,0,3,83,23,None
IF-AL#,RandomWp500,RandomWp500,adg,388,1467,1229829,11877858,452212,4321741,0,6,89,26,None
IF-AL#,RandomWp25,RandomWp25,adg,336,1590,60568,537152,91020,737789,0,14,47,34,None
IF-AL#,RandomWp50,RandomWp50,adg,341,1438,129648,1183434,92586,768743,0,8,55,28,None
IF-AL#,RandomWp100,RandomWp100,adg,325,1434,234634,2102400,174655,1559727,0,14,51,34,None
IF-AL#,RandomWp500,RandomWp500,adg,271,1293,1211810,11528957,459881,4466156,0,5,79,25,None
IF-AL#,RandomWp500,RandomWp500,adg,364,1383,1224233,11763077,446222,4285000,0,5,91,25,None
IF-AL#,RandomWp25,RandomWp25,adg,291,1314,58605,518474,98011,786259,0,19,44,39,None
IF-AL#,RandomWp50,RandomWp50,adg,312,1541,120537,1067965,116303,1007124,0,12,56,32,None
IF-AL#,RandomWp100,RandomWp100,adg,249,1206,268126,2466490,113151,973411,0,2,64,22,None
IF-AL#,RandomWp500,RandomWp500,adg,358,1421,1199710,11477490,478579,4666840,0,6,88,26,None
IF-AL#,RandomWp500,RandomWp500,adg,293,1430,1186596,11326253,504285,4957610,0,7,87,27,None
IF-AL#,RandomWp25,RandomWp25,adg,321,1479,56197,498051,100895,799060,0,21,50,41,None
IF-AL#,RandomWp50,RandomWp50,adg,299,1512,121634,1080363,111042,953703,0,12,55,32,None
IF-AL#,RandomWp100,RandomWp100,adg,308,1338,252166,2312264,147871,1305632,0,8,74,28,None
IF-AL#,RandomWp500,RandomWp500,adg,370,1335,1257501,12245037,410638,3877675,0,4,90,24,None
