method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,false_positives,false_negatives,learned_models,len(specifications),b
AL#,RandomWp100,RandomWp100,adg,0,0,0,0,585884,3501843,0,9,540,31,None
IF-AL#,RandomWp100,RandomWp100,adg,2264,6554,419225,2803467,24993,157268,1,3,547,25,None
AL#,RandomWp100,RandomWp100,adg,0,0,0,0,589673,3538228,1,2,556,24,None
IF-AL#,RandomWp100,RandomWp100,adg,2331,6815,403399,2645560,26321,166194,1,4,471,26,None
AL#,RandomWp200,RandomWp200,adg,0,0,0,0,995667,6418345,0,0,596,22,None
IF-AL#,RandomWp200,RandomWp200,adg,2581,7470,782593,5294823,49405,329825,0,6,534,28,None
AL#,RandomWp500,RandomWp500,adg,0,0,0,0,2057980,13921351,0,1,557,23,None
IF-AL#,RandomWp500,RandomWp500,adg,2565,7197,1878711,13163841,91938,648862,0,0,596,22,None
AL#,RandomWp100,RandomWp100,adg,0,0,0,0,592079,3535103,0,8,549,30,None
IF-AL#,RandomWp100,RandomWp100,adg,2662,7806,408997,2706392,27299,171417,0,5,502,27,None
AL#,RandomWp200,RandomWp200,adg,0,0,0,0,972228,6187615,0,7,545,29,None
IF-AL#,RandomWp200,RandomWp200,adg,2611,7420,815100,5573141,44242,299209,0,1,593,23,None
AL#,RandomWp500,RandomWp500,adg,0,0,0,0,2058232,13926614,0,1,557,23,None
IF-AL#,RandomWp500,RandomWp500,adg,2604,7395,1865119,13041588,95882,678615,0,1,586,23,None
AL#,RandomWp100,RandomWp100,adg,0,0,0,0,589017,3530494,1,5,552,27,None
IF-AL#,RandomWp100,RandomWp100,adg,2562,7360,391250,2539092,28884,179360,2,9,425,31,None
AL#,RandomWp200,RandomWp200,adg,0,0,0,0,971744,6182706,0,7,543,29,None
IF-AL#,RandomWp200,RandomWp200,adg,2513,7265,781848,5279126,47212,315085,0,5,525,27,None
AL#,RandomWp500,RandomWp500,adg,0,0,0,0,2058562,13922834,0,1,557,23,None
IF-AL#,RandomWp500,RandomWp500,adg,2452,7689,1868335,13072784,99668,705436,0,2,590,24,None
AL#,RandomWp100,RandomWp100,adg,0,0,0,0,591861,3528277,0,6,544,28,None
IF-AL#,RandomWp100,RandomWp100,adg,2705,7843,425049,2853374,28293,180824,2,4,579,26,None
AL#,RandomWp200,RandomWp200,adg,0,0,0,0,989704,6348877,0,7,580,29,None
IF-AL#,RandomWp200,RandomWp200,adg,2193,6471,793987,5398344,43275,289041,0,2,557,24,None
AL#,RandomWp500,RandomWp500,adg,0,0,0,0,2098129,14287100,0,2,589,24,None
IF-AL#,RandomWp500,RandomWp500,adg,2698,7891,1831961,12758622,95190,671651,0,2,558,24,None
AL#,RandomWp100,RandomWp100,adg,0,0,0,0,591269,3522132,0,8,542,30,None
IF-AL#,RandomWp100,RandomWp100,adg,2751,8176,413438,2747079,26815,168654,0,4,525,26,None
AL#,RandomWp200,RandomWp200,adg,0,0,0,0,974165,6201633,0,7,548,29,None
IF-AL#,RandomWp200,RandomWp200,adg,2565,7197,797175,5420527,41472,277477,0,0,556,22,None
AL#,RandomWp500,RandomWp500,adg,0,0,0,0,2059591,13931669,0,0,558,22,None
IF-AL#,RandomWp500,RandomWp500,adg,2593,7337,1857689,12975526,94382,664625,0,1,578,23,None
AL#,RandomWp100,RandomWp100,adg,0,0,0,0,586487,3522986,1,6,551,28,None
IF-AL#,RandomWp100,RandomWp100,adg,2323,6343,420633,2812870,25032,158661,1,2,554,24,None
AL#,RandomWp200,RandomWp200,adg,0,0,0,0,974412,6203934,0,7,547,29,None
IF-AL#,RandomWp200,RandomWp200,adg,2675,7806,795201,5405615,43011,286799,0,2,556,24,None
AL#,RandomWp500,RandomWp500,adg,0,0,0,0,2081428,14137077,0,2,576,24,None
IF-AL#,RandomWp500,RandomWp500,adg,2587,7307,1845458,12874664,99706,703347,0,2,573,24,None
AL#,RandomWp100,RandomWp100,adg,0,0,0,0,584642,3501229,1,8,543,30,None
IF-AL#,RandomWp100,RandomWp100,adg,2380,7458,405566,2672439,29265,183568,3,8,496,30,None
AL#,RandomWp200,RandomWp200,adg,0,0,0,0,970331,6210402,0,5,552,27,None
IF-AL#,RandomWp200,RandomWp200,adg,2459,6944,805410,5500669,49730,337050,0,4,580,26,None
AL#,RandomWp500,RandomWp500,adg,0,0,0,0,2059344,13934047,0,0,558,22,None
IF-AL#,RandomWp500,RandomWp500,adg,2600,7368,1860589,13000577,99276,700557,0,2,583,24,None
AL#,RandomWp100,RandomWp100,adg,0,0,0,0,598441,3614599,0,7,586,29,None
IF-AL#,RandomWp100,RandomWp100,adg,2728,8132,407334,2686219,29161,185099,4,7,499,29,None
AL#,RandomWp200,RandomWp200,adg,0,0,0,0,984536,6304454,0,4,572,26,None
IF-AL#,RandomWp200,RandomWp200,adg,2704,8055,775618,5212805,52882,355192,2,9,508,31,None
AL#,RandomWp500,RandomWp500,adg,0,0,0,0,2091074,14220203,0,3,583,25,None
IF-AL#,RandomWp500,RandomWp500,adg,2597,7357,1861123,13007499,95238,673720,0,1,583,23,None
AL#,RandomWp100,RandomWp100,adg,0,0,0,0,584913,3507944,3,7,544,29,None
IF-AL#,RandomWp100,RandomWp100,adg,2608,7182,417548,2788360,25545,161289,0,4,538,26,None
AL#,RandomWp200,RandomWp200,adg,0,0,0,0,996380,6415475,0,2,593,24,None
IF-AL#,RandomWp200,RandomWp200,adg,2591,7273,797773,5431187,45742,305915,0,3,566,25,None
AL#,RandomWp500,RandomWp500,adg,0,0,0,0,2051828,13894602,0,5,557,27,None
IF-AL#,RandomWp500,RandomWp500,adg,2573,7416,1862924,13024755,99431,703789,0,2,585,24,None
AL#,RandomWp100,RandomWp100,adg,0,0,0,0,593128,3537246,0,8,548,30,None
IF-AL#,RandomWp100,RandomWp100,adg,2397,7860,402208,2648971,29741,186119,6,10,484,32,None
AL#,RandomWp200,RandomWp200,adg,0,0,0,0,974558,6230123,0,4,555,26,None
IF-AL#,RandomWp200,RandomWp200,adg,2565,7197,797177,5421203,41849,279502,0,0,558,22,None
AL#,RandomWp500,RandomWp500,adg,0,0,0,0,2055657,13910157,0,3,555,25,None
IF-AL#,RandomWp500,RandomWp500,adg,2565,7197,1831836,12755243,89583,627603,0,0,558,22,None
AL#,RandomWp100,RandomWp100,adg,0,0,0,0,590176,3537233,0,4,554,26,None
IF-AL#,RandomWp100,RandomWp100,adg,2408,7494,405530,2664191,26809,169325,0,5,481,27,None
AL#,RandomWp200,RandomWp200,adg,0,0,0,0,978190,6237324,0,1,556,23,None
IF-AL#,RandomWp200,RandomWp200,adg,2692,7905,775525,5238408,51602,343359,1,9,519,31,None
AL#,RandomWp500,RandomWp500,adg,0,0,0,0,2058434,13923358,0,0,558,22,None
IF-AL#,RandomWp500,RandomWp500,adg,3013,8539,1842150,12848267,96575,681152,0,2,570,24,None
AL#,RandomWp100,RandomWp100,adg,0,0,0,0,591490,3523714,0,8,542,30,None
IF-AL#,RandomWp100,RandomWp100,adg,2536,6985,418505,2799288,27216,173238,1,3,553,25,None
AL#,RandomWp200,RandomWp200,adg,0,0,0,0,972381,6184947,0,7,543,29,None
IF-AL#,RandomWp200,RandomWp200,adg,2565,7197,798552,5432115,41361,277265,0,0,558,22,None
