method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,learned_models,len(specifications),start_specs,budget
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,69,85,0,0,1110,3764,40,8,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,69,85,0,0,1092,3646,40,8,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,5353,18201,40,8,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,5419,18021,40,8,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,69,85,0,0,1110,3764,40,8,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,69,85,0,0,1092,3646,40,8,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,5353,18201,40,8,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,5419,18021,40,8,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,69,85,0,0,1110,3764,40,8,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,69,85,0,0,1092,3646,40,8,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,5353,18201,40,8,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,5419,18021,40,8,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,69,85,0,0,1110,3764,40,8,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,69,85,0,0,1092,3646,40,8,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,5353,18201,40,8,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,5419,18021,40,8,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,69,85,0,0,1110,3764,40,8,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,69,85,0,0,1092,3646,40,8,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,5353,18201,40,8,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,5419,18021,40,8,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,69,85,0,0,1110,3764,40,8,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,69,85,0,0,1092,3646,40,8,None,None
