method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,learned_models,len(specifications),start_specs,budget
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,53,116,0,0,4144,20615,30,6,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,53,116,0,0,4212,21543,30,6,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,20759,103789,30,6,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,21007,106503,30,6,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,53,116,0,0,4144,20615,30,6,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,53,116,0,0,4212,21543,30,6,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,20759,103789,30,6,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,21007,106503,30,6,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,53,116,0,0,4144,20615,30,6,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,53,116,0,0,4212,21543,30,6,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,20759,103789,30,6,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,21007,106503,30,6,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,53,116,0,0,4144,20615,30,6,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,53,116,0,0,4212,21543,30,6,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,20759,103789,30,6,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,21007,106503,30,6,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,53,116,0,0,4144,20615,30,6,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,53,116,0,0,4212,21543,30,6,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,20759,103789,30,6,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,21007,106503,30,6,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,53,116,0,0,4144,20615,30,6,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,53,116,0,0,4212,21543,30,6,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,20759,103789,30,6,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,21007,106503,30,6,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,53,116,0,0,4283,21501,30,6,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,53,116,0,0,4193,21265,30,6,None,None
