method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,learned_models,len(specifications),start_specs,budget
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,54,108,0,0,14584,88075,30,6,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,54,108,0,0,14588,87761,30,6,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,66622,398247,30,6,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,70990,427767,30,6,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,54,108,0,0,14584,88075,30,6,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,54,108,0,0,14588,87761,30,6,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,66622,398247,30,6,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,70990,427767,30,6,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,54,108,0,0,14584,88075,30,6,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,54,108,0,0,14588,87761,30,6,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,66622,398247,30,6,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,70990,427767,30,6,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,54,108,0,0,14584,88075,30,6,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,54,108,0,0,14588,87761,30,6,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,66622,398247,30,6,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,70990,427767,30,6,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,54,108,0,0,14584,88075,30,6,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,54,108,0,0,14588,87761,30,6,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,66622,398247,30,6,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,70990,427767,30,6,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,54,108,0,0,14584,88075,30,6,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,54,108,0,0,14588,87761,30,6,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,66622,398247,30,6,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,70990,427767,30,6,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,54,108,0,0,14336,86562,30,6,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,54,108,0,0,14200,85295,30,6,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,67685,405799,30,6,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,70634,425969,30,6,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,54,108,0,0,14336,86562,30,6,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,54,108,0,0,14200,85295,30,6,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,67034,401994,30,6,None,None
