method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,learned_models,len(specifications),start_specs,budget
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,332,1144,0,0,38970,278694,100,20,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,332,1144,0,0,37144,249510,100,20,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,182642,1245781,100,20,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,186868,1248448,100,20,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,332,1144,0,0,38970,278694,100,20,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,332,1144,0,0,37144,249510,100,20,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,182642,1245781,100,20,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,186868,1248448,100,20,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,332,1144,0,0,38970,278694,100,20,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,332,1144,0,0,37144,249510,100,20,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,182642,1245781,100,20,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,186868,1248448,100,20,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,332,1144,0,0,38970,278694,100,20,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,332,1144,0,0,37144,249510,100,20,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,182642,1245781,100,20,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,186868,1248448,100,20,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,332,1144,0,0,38970,278694,100,20,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,332,1144,0,0,37144,249510,100,20,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,182642,1245781,100,20,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,186868,1248448,100,20,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,332,1144,0,0,38970,278694,100,20,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,332,1144,0,0,37144,249510,100,20,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,182642,1245781,100,20,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,186868,1248448,100,20,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,332,1144,0,0,38612,278589,100,20,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,332,1144,0,0,37261,251280,100,20,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,181654,1235993,100,20,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,186129,1243523,100,20,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,332,1144,0,0,38612,278589,100,20,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,332,1144,0,0,37261,251280,100,20,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,182177,1245674,100,20,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,186834,1247908,100,20,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,332,1144,0,0,38876,279621,100,20,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,332,1144,0,0,37146,250297,100,20,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,181944,1238217,100,20,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,186692,1248848,100,20,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,332,1144,0,0,38876,279621,100,20,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,332,1144,0,0,37146,250297,100,20,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,181943,1237963,100,20,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,186655,1244940,100,20,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,332,1144,0,0,38895,279602,100,20,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,332,1144,0,0,37284,251547,100,20,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,181734,1239324,100,20,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,186251,1241976,100,20,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,332,1144,0,0,38784,280103,100,20,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,332,1144,0,0,37036,248688,100,20,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,181781,1237565,100,20,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,186706,1246547,100,20,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,332,1144,0,0,39114,285513,100,20,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,332,1144,0,0,37203,252344,100,20,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,181809,1242044,100,20,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,186706,1246547,100,20,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,332,1144,0,0,39114,285513,100,20,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,332,1144,0,0,37325,251939,100,20,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,181478,1234847,100,20,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,186280,1242584,100,20,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,332,1144,0,0,38876,281901,100,20,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,332,1144,0,0,37163,249857,100,20,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,182546,1244498,100,20,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,187036,1248724,100,20,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,332,1144,0,0,39106,280652,100,20,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,332,1144,0,0,37214,251269,100,20,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,182091,1242591,100,20,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,186883,1248512,100,20,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,332,1144,0,0,38742,281463,100,20,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,332,1144,0,0,37292,251467,100,20,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,182136,1243912,100,20,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,186987,1248131,100,20,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,332,1144,0,0,38939,282398,100,20,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,332,1144,0,0,37243,251832,100,20,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,182463,1244710,100,20,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,186856,1248126,100,20,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,332,1144,0,0,38824,280654,100,20,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,332,1144,0,0,37219,249914,100,20,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,182297,1247931,100,20,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,186692,1247471,100,20,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,332,1144,0,0,38868,285632,100,20,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,332,1144,0,0,37164,249419,100,20,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,182745,1248095,100,20,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,186938,1247145,100,20,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,332,1144,0,0,38961,280693,100,20,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,332,1144,0,0,37387,251429,100,20,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,182947,1247646,100,20,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,186787,1245294,100,20,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,332,1144,0,0,38828,281177,100,20,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,332,1144,0,0,37054,249090,100,20,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,182293,1241815,100,20,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,187038,1247572,100,20,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,332,1144,0,0,39054,282891,100,20,None,None
