method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,learned_models,len(specifications),start_specs,budget
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7678,32314,596,22,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7619,32004,596,22,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,191486,766715,596,22,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,178593,713758,596,22,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7678,32314,596,22,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7619,32004,596,22,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,191486,766715,596,22,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,178593,713758,596,22,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7678,32314,596,22,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7619,32004,596,22,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,191486,766715,596,22,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,178593,713758,596,22,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7678,32314,596,22,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7619,32004,596,22,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,191486,766715,596,22,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,178593,713758,596,22,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7678,32314,596,22,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7619,32004,596,22,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,191486,766715,596,22,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,178593,713758,596,22,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7678,32314,596,22,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7619,32004,596,22,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,191486,766715,596,22,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,178593,713758,596,22,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7605,32027,596,22,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7627,32029,596,22,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,191703,767498,596,22,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,178269,712352,596,22,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7605,32027,596,22,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7627,32029,596,22,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,191235,765530,596,22,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,178851,715685,596,22,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7518,31591,596,22,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7685,32368,596,22,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,191235,765530,596,22,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,178851,715685,596,22,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7605,32027,596,22,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7751,32763,596,22,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,190824,763686,596,22,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,178872,715697,596,22,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7653,32164,596,22,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7738,32634,596,22,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,191622,767204,596,22,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,178364,712533,596,22,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7564,31837,596,22,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7738,32634,596,22,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,191622,767204,596,22,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,178510,713630,596,22,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7678,32314,596,22,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7672,32383,596,22,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,191076,764800,596,22,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,177892,710256,596,22,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7661,32178,596,22,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7672,32383,596,22,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,191065,764773,596,22,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,178947,716038,596,22,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7653,32164,596,22,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7714,32615,596,22,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,191453,766513,596,22,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,178621,714007,596,22,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7678,32314,596,22,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7752,32693,596,22,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,190682,763091,596,22,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,177882,710035,596,22,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7646,32147,596,22,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7738,32634,596,22,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,190901,764276,596,22,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,179549,719434,596,22,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7623,32048,596,22,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7642,32148,596,22,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,191453,766513,596,22,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,178335,712386,596,22,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7555,31753,596,22,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7703,32487,596,22,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,191172,765318,596,22,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,178913,715718,596,22,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7652,32133,596,22,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7760,32782,596,22,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,191458,766481,596,22,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,178291,712278,596,22,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7562,31786,596,22,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7755,32664,596,22,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,191075,764772,596,22,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,178336,712613,596,22,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7556,31797,596,22,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7672,32383,596,22,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,191423,766415,596,22,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,178579,713748,596,22,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7625,32059,596,22,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7675,32445,596,22,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,191504,766814,596,22,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,178701,714375,596,22,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7518,31591,596,22,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7690,32395,596,22,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,191609,767281,596,22,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,178367,713283,596,22,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7651,32126,596,22,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7611,31949,596,22,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,190943,764335,596,22,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,178367,713283,596,22,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7651,32126,596,22,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7722,32496,596,22,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,191174,765118,596,22,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,178905,715959,596,22,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7623,32048,596,22,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7828,32973,596,22,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,191510,766547,596,22,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,178969,716272,596,22,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7562,31786,596,22,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7678,32369,596,22,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,191458,766481,596,22,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,178941,715552,596,22,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7651,32126,596,22,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7722,32496,596,22,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,191458,766481,596,22,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,178544,714087,596,22,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7517,31587,596,22,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,1995,6765,0,0,7755,32664,596,22,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,190677,763157,596,22,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,177833,710043,596,22,None,None
