method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,false_positives,false_negatives,learned_models,len(specifications)
IF-AL#,RandomWp25,RandomWp25,adg,59,75,4528,25710,2088,9785,0,0,40,8
IF-AL#,RandomWp25,RandomWp50,adg,59,75,4468,25497,3022,15452,0,0,40,8
IF-AL#,RandomWp25,RandomWp100,adg,59,75,4497,25625,4743,25952,0,0,40,8
IF-AL#,RandomWp50,RandomWp25,adg,59,75,8516,49367,2040,9615,0,0,40,8
IF-AL#,RandomWp50,RandomWp50,adg,59,75,8439,48900,3034,15536,0,0,40,8
IF-AL#,RandomWp50,RandomWp100,adg,59,75,8539,49391,4699,25901,0,0,40,8
IF-AL#,RandomWp100,RandomWp25,adg,59,75,15771,93450,2067,9697,0,0,40,8
IF-AL#,RandomWp100,RandomWp50,adg,59,75,15877,94129,2953,15051,0,0,40,8
IF-AL#,RandomWp100,RandomWp100,adg,59,75,15744,93182,4865,26753,0,0,40,8
IF-AL#,RandomWp25,RandomWp25,adg,41,97,4240,24082,2581,12661,0,1,38,9
IF-AL#,RandomWp25,RandomWp50,adg,59,75,4485,25636,3023,15456,0,0,40,8
IF-AL#,RandomWp25,RandomWp100,adg,59,75,4501,25543,4741,26239,0,0,40,8
IF-AL#,RandomWp50,RandomWp25,adg,59,75,8490,49273,2093,9854,0,0,40,8
IF-AL#,RandomWp50,RandomWp50,adg,59,75,8492,49285,3022,15381,0,0,40,8
IF-AL#,RandomWp50,RandomWp100,adg,59,75,8520,49236,4783,26465,0,0,40,8
IF-AL#,RandomWp100,RandomWp25,adg,59,75,15754,93437,2083,9932,0,0,40,8
IF-AL#,RandomWp100,RandomWp50,adg,59,75,15843,93988,2992,15264,0,0,40,8
IF-AL#,RandomWp100,RandomWp100,adg,59,75,15851,93767,4803,26674,0,0,40,8
IF-AL#,RandomWp25,RandomWp25,adg,65,117,4435,25263,2120,9830,0,1,39,9
IF-AL#,RandomWp25,RandomWp50,adg,58,72,4454,25311,3011,15448,1,0,39,8
IF-AL#,RandomWp25,RandomWp100,adg,59,75,4528,25637,4819,26496,0,0,40,8
IF-AL#,RandomWp50,RandomWp25,adg,59,75,8475,49302,2090,9816,0,0,40,8
IF-AL#,RandomWp50,RandomWp50,adg,59,75,8557,49461,3033,15550,0,0,40,8
IF-AL#,RandomWp50,RandomWp100,adg,59,75,8453,48856,4851,26740,0,0,40,8
