method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,false_positives,false_negatives,learned_models,len(specifications)
IF-AL#,RandomWp25,RandomWp25,adg,59,137,3165,20215,6000,30265,0,3,17,9
IF-AL#,RandomWp25,RandomWp50,adg,47,125,2343,14008,7144,36586,0,4,11,10
IF-AL#,RandomWp25,RandomWp100,adg,46,100,3388,21822,6131,34442,0,0,20,6
IF-AL#,RandomWp50,RandomWp25,adg,53,122,4628,27559,4937,23619,0,4,12,10
IF-AL#,RandomWp50,RandomWp50,adg,46,100,6721,43991,5982,32355,0,1,21,7
IF-AL#,RandomWp50,RandomWp100,adg,46,100,7555,50878,8467,50417,0,1,21,7
IF-AL#,RandomWp100,RandomWp25,adg,52,149,9190,55493,6182,30373,0,6,11,12
IF-AL#,RandomWp100,RandomWp50,adg,49,115,16046,113222,6906,38782,0,1,29,7
IF-AL#,RandomWp100,RandomWp100,adg,58,152,14154,98603,9488,55445,0,3,26,9
IF-AL#,RandomWp25,RandomWp25,adg,61,127,2240,12945,4086,18142,0,4,7,10
IF-AL#,RandomWp25,RandomWp50,adg,48,110,2629,15246,5177,25531,0,2,8,8
IF-AL#,RandomWp25,RandomWp100,adg,53,128,3667,24365,7491,43554,0,1,20,7
IF-AL#,RandomWp50,RandomWp25,adg,65,130,7514,50694,5216,26292,0,1,20,7
IF-AL#,RandomWp50,RandomWp50,adg,63,155,5464,35455,7803,42148,0,6,16,12
IF-AL#,RandomWp50,RandomWp100,adg,81,226,8248,57801,8826,53205,0,1,29,7
IF-AL#,RandomWp100,RandomWp25,adg,68,175,11448,77003,7591,39731,0,6,19,12
IF-AL#,RandomWp100,RandomWp50,adg,63,153,8263,48265,6757,35069,0,7,10,13
IF-AL#,RandomWp100,RandomWp100,adg,69,260,15239,105945,10849,66251,0,3,25,9
IF-AL#,RandomWp25,RandomWp25,adg,52,118,2787,16627,5034,23372,0,3,10,9
IF-AL#,RandomWp25,RandomWp50,adg,46,100,3486,22754,4916,25873,0,0,20,6
IF-AL#,RandomWp25,RandomWp100,adg,46,100,3169,19996,5663,30816,0,0,15,6
IF-AL#,RandomWp50,RandomWp25,adg,48,114,7365,49312,4971,25766,0,1,20,7
IF-AL#,RandomWp50,RandomWp50,adg,64,157,6083,39805,6898,35610,0,5,18,11
IF-AL#,RandomWp50,RandomWp100,adg,61,134,6295,40898,7364,40631,0,2,19,8
IF-AL#,RandomWp100,RandomWp25,adg,71,211,7615,47284,7934,38704,0,11,11,17
IF-AL#,RandomWp100,RandomWp50,adg,53,158,11824,77511,8121,43769,0,7,18,13
IF-AL#,RandomWp100,RandomWp100,adg,46,100,16777,118548,8296,50965,0,0,30,6
IF-AL#,RandomWp25,RandomWp25,adg,55,139,2378,13992,4777,21530,0,4,9,10
IF-AL#,RandomWp25,RandomWp50,adg,47,115,2408,13391,4024,17436,0,2,5,8
IF-AL#,RandomWp25,RandomWp100,adg,47,105,3352,21450,7097,39549,0,1,15,7
IF-AL#,RandomWp50,RandomWp25,adg,56,150,6529,42832,4293,20906,0,2,19,8
IF-AL#,RandomWp50,RandomWp50,adg,52,135,5378,34017,6244,31511,0,4,15,10
IF-AL#,RandomWp50,RandomWp100,adg,67,154,7640,51634,7970,46026,0,1,20,7
IF-AL#,RandomWp100,RandomWp25,adg,62,203,12018,80750,7389,37111,0,6,19,12
IF-AL#,RandomWp100,RandomWp50,adg,71,280,15407,108254,7689,43554,0,2,28,8
IF-AL#,RandomWp100,RandomWp100,adg,50,136,16351,115394,8934,54861,0,1,29,7
IF-AL#,RandomWp25,RandomWp25,adg,62,151,2255,13227,5656,26763,0,6,9,12
IF-AL#,RandomWp25,RandomWp50,adg,69,159,2723,16768,5113,25788,0,2,13,8
IF-AL#,RandomWp25,RandomWp100,adg,53,128,2868,17651,5642,29998,0,1,10,7
IF-AL#,RandomWp50,RandomWp25,adg,56,156,4932,30446,5908,27581,0,6,13,12
IF-AL#,RandomWp50,RandomWp50,adg,50,130,5681,36811,6789,35047,0,4,15,10
IF-AL#,RandomWp50,RandomWp100,adg,65,130,7798,52966,8038,46410,0,1,25,7
IF-AL#,RandomWp100,RandomWp25,adg,57,149,11574,76237,4378,21172,0,3,18,9
IF-AL#,RandomWp100,RandomWp50,adg,47,141,13521,89957,6589,36178,0,3,21,9
IF-AL#,RandomWp100,RandomWp100,adg,64,161,13360,91623,10954,65147,0,4,24,10
IF-AL#,RandomWp25,RandomWp25,adg,54,135,1946,10638,3401,12797,0,4,4,10
IF-AL#,RandomWp25,RandomWp50,adg,57,135,2679,16144,7876,41516,0,5,11,11
IF-AL#,RandomWp25,RandomWp100,adg,46,100,3888,26220,7294,42553,0,0,25,6
IF-AL#,RandomWp50,RandomWp25,adg,68,153,4160,24224,5024,22454,0,5,9,11
IF-AL#,RandomWp50,RandomWp50,adg,65,146,5518,34860,7396,38509,0,4,14,10
IF-AL#,RandomWp50,RandomWp100,adg,66,219,6191,42043,11235,63883,0,6,22,12
IF-AL#,RandomWp100,RandomWp25,adg,67,240,12896,87307,6386,33065,0,4,21,10
IF-AL#,RandomWp100,RandomWp50,adg,55,136,14887,102256,6601,37202,0,2,23,8
IF-AL#,RandomWp100,RandomWp100,adg,56,152,11548,75917,8995,50117,0,4,17,10
IF-AL#,RandomWp25,RandomWp25,adg,65,178,2000,11837,6537,29979,0,8,10,14
IF-AL#,RandomWp25,RandomWp50,adg,64,153,2610,16252,7287,38137,0,5,15,11
IF-AL#,RandomWp25,RandomWp100,adg,49,115,3811,25727,8206,47392,0,1,24,7
IF-AL#,RandomWp50,RandomWp25,adg,60,137,4204,24045,4232,18789,0,5,6,11
IF-AL#,RandomWp50,RandomWp50,adg,58,160,4933,31351,9395,50104,0,7,16,13
IF-AL#,RandomWp50,RandomWp100,adg,81,226,7955,55198,8554,50972,0,1,24,7
IF-AL#,RandomWp100,RandomWp25,adg,72,255,12698,85964,7225,37309,0,6,19,12
IF-AL#,RandomWp100,RandomWp50,adg,56,135,13835,94412,7668,42205,0,3,24,9
IF-AL#,RandomWp100,RandomWp100,adg,71,280,16014,112314,9515,58655,0,2,28,8
IF-AL#,RandomWp25,RandomWp25,adg,59,128,2333,13506,3723,15961,0,3,8,9
IF-AL#,RandomWp25,RandomWp50,adg,65,130,3201,20348,4862,23958,0,1,15,7
IF-AL#,RandomWp25,RandomWp100,adg,53,128,3220,20842,6591,36442,0,1,15,7
IF-AL#,RandomWp50,RandomWp25,adg,60,157,4748,29213,5921,27627,0,6,13,12
