method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,false_positives,false_negatives,learned_models,len(specifications)
IF-AL#,RandomWp25,RandomWp25,adg,60,229,8884,68848,42311,296655,0,8,21,14
IF-AL#,RandomWp25,RandomWp50,adg,54,167,11603,91713,38161,278773,0,3,27,9
IF-AL#,RandomWp25,RandomWp100,adg,48,96,14149,115759,29191,220592,0,0,30,6
IF-AL#,RandomWp50,RandomWp25,adg,51,202,17413,130175,42495,297564,0,6,24,12
IF-AL#,RandomWp50,RandomWp50,adg,52,160,24839,200380,29555,211375,0,2,28,8
IF-AL#,RandomWp50,RandomWp100,adg,64,200,25117,204108,41524,318884,0,2,28,8
IF-AL#,RandomWp100,RandomWp25,adg,75,275,28304,208787,42809,289779,0,8,22,14
IF-AL#,RandomWp100,RandomWp50,adg,51,120,50970,414749,28497,208321,0,1,29,7
IF-AL#,RandomWp100,RandomWp100,adg,51,117,54428,448122,36884,286574,0,1,29,7
IF-AL#,RandomWp25,RandomWp25,adg,53,177,9919,75866,36564,253689,0,4,26,10
IF-AL#,RandomWp25,RandomWp50,adg,55,183,13448,109873,30399,221034,0,2,28,8
IF-AL#,RandomWp25,RandomWp100,adg,48,96,14158,116000,28787,210637,0,0,30,6
IF-AL#,RandomWp50,RandomWp25,adg,68,267,17653,137587,41717,282970,0,8,22,14
IF-AL#,RandomWp50,RandomWp50,adg,64,205,24426,197982,33780,245965,0,3,26,9
IF-AL#,RandomWp50,RandomWp100,adg,48,96,28121,231604,28518,210787,0,0,30,6
IF-AL#,RandomWp100,RandomWp25,adg,60,200,40950,325413,35551,249039,0,4,26,10
IF-AL#,RandomWp100,RandomWp50,adg,52,163,48158,393397,32342,232706,0,2,28,8
IF-AL#,RandomWp100,RandomWp100,adg,48,96,55301,456638,28153,211778,0,0,30,6
IF-AL#,RandomWp25,RandomWp25,adg,42,185,11085,87876,29755,198705,0,4,25,10
IF-AL#,RandomWp25,RandomWp50,adg,52,174,12498,100954,32743,237165,0,2,28,8
IF-AL#,RandomWp25,RandomWp100,adg,48,96,14153,116156,28384,211474,0,0,30,6
IF-AL#,RandomWp50,RandomWp25,adg,77,290,16455,122014,35660,241116,0,7,22,13
IF-AL#,RandomWp50,RandomWp50,adg,61,202,23771,193630,35610,255114,0,4,26,10
IF-AL#,RandomWp50,RandomWp100,adg,48,96,28070,230699,28087,205616,0,0,30,6
IF-AL#,RandomWp100,RandomWp25,adg,55,186,41245,327739,33959,235938,0,4,26,10
IF-AL#,RandomWp100,RandomWp50,adg,71,231,48406,397062,30678,222186,0,3,27,9
IF-AL#,RandomWp100,RandomWp100,adg,53,126,53193,441332,32764,237927,0,1,29,7
IF-AL#,RandomWp25,RandomWp25,adg,64,251,8625,65677,35664,237472,0,7,21,13
IF-AL#,RandomWp25,RandomWp50,adg,42,166,11806,92931,37412,276334,0,3,25,9
IF-AL#,RandomWp25,RandomWp100,adg,58,137,13999,114937,30915,226969,0,1,28,7
IF-AL#,RandomWp50,RandomWp25,adg,71,235,21906,179061,26033,169092,0,4,26,10
IF-AL#,RandomWp50,RandomWp50,adg,51,117,25716,207898,28724,208619,0,1,29,7
IF-AL#,RandomWp50,RandomWp100,adg,51,117,26145,212238,37509,289060,0,1,29,7
IF-AL#,RandomWp100,RandomWp25,adg,69,244,33811,258966,44627,321046,0,7,23,13
IF-AL#,RandomWp100,RandomWp50,adg,55,177,48870,398377,31028,223232,0,2,28,8
IF-AL#,RandomWp100,RandomWp100,adg,52,174,48073,391952,43021,327577,0,2,28,8
IF-AL#,RandomWp25,RandomWp25,adg,50,224,11276,89222,32516,227652,0,4,26,10
IF-AL#,RandomWp25,RandomWp50,adg,56,161,11061,87796,40461,294158,0,4,24,10
IF-AL#,RandomWp25,RandomWp100,adg,48,96,14173,116052,28225,208864,0,0,30,6
IF-AL#,RandomWp50,RandomWp25,adg,76,252,16043,124405,42360,288988,0,8,22,14
IF-AL#,RandomWp50,RandomWp50,adg,66,150,27134,223693,24169,170988,0,1,29,7
IF-AL#,RandomWp50,RandomWp100,adg,48,96,28101,230735,28076,206715,0,0,30,6
IF-AL#,RandomWp100,RandomWp25,adg,74,229,34269,263251,35397,235910,0,6,24,12
IF-AL#,RandomWp100,RandomWp50,adg,69,217,47891,391734,38630,288546,0,4,26,10
IF-AL#,RandomWp100,RandomWp100,adg,48,96,55358,457378,28223,209813,0,0,30,6
IF-AL#,RandomWp25,RandomWp25,adg,54,216,10353,82630,34523,230875,0,6,23,12
IF-AL#,RandomWp25,RandomWp50,adg,55,146,13964,114740,24086,169986,0,1,29,7
IF-AL#,RandomWp25,RandomWp100,adg,71,170,13710,112854,31074,226298,0,1,29,7
