method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,false_positives,false_negatives,learned_models,len(specifications)
IF-AL#,RandomWp25,RandomWp25,adg,356,1413,54516,476327,95157,743362,1,18,43,38
IF-AL#,RandomWp25,RandomWp50,adg,364,1265,68245,608094,82870,681845,0,4,52,24
IF-AL#,RandomWp25,RandomWp100,adg,359,1451,67279,612247,135008,1177687,0,7,50,27
IF-AL#,RandomWp50,RandomWp25,adg,375,1439,112616,993248,96910,798549,0,17,62,37
IF-AL#,RandomWp50,RandomWp50,adg,371,1567,117467,1044518,117507,997356,0,13,50,33
IF-AL#,RandomWp50,RandomWp100,adg,385,1394,127173,1145687,140088,1217374,0,7,61,27
IF-AL#,RandomWp100,RandomWp25,adg,378,1752,194997,1730979,110809,908679,0,26,59,46
IF-AL#,RandomWp100,RandomWp50,adg,384,1424,251300,2295335,92925,774419,0,9,62,29
IF-AL#,RandomWp100,RandomWp100,adg,357,1592,257428,2363773,143963,1278604,0,8,74,28
IF-AL#,RandomWp25,RandomWp25,adg,365,1325,60125,530443,87200,703884,0,15,30,35
IF-AL#,RandomWp25,RandomWp50,adg,377,1425,62794,552507,98047,803226,0,9,43,29
IF-AL#,RandomWp25,RandomWp100,adg,353,1473,66103,588041,149877,1326955,0,8,55,28
IF-AL#,RandomWp50,RandomWp25,adg,344,1517,108464,954514,98831,799462,0,20,42,40
IF-AL#,RandomWp50,RandomWp50,adg,385,1516,114076,996546,121006,1030086,0,14,45,34
IF-AL#,RandomWp50,RandomWp100,adg,377,1451,124095,1109979,150358,1322079,0,8,51,28
IF-AL#,RandomWp100,RandomWp25,adg,418,1707,207301,1840766,97892,795425,0,22,43,42
IF-AL#,RandomWp100,RandomWp50,adg,379,1421,250390,2269600,94441,797363,0,9,57,29
IF-AL#,RandomWp100,RandomWp100,adg,362,1549,244454,2214000,157699,1428549,0,9,54,29
IF-AL#,RandomWp25,RandomWp25,adg,391,1616,59933,528857,86026,677550,0,15,40,35
