method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,false_positives,false_negatives,learned_models,len(specifications)
IF-AL#,RandomWp25,RandomWp25,adg,2104,6498,107848,695271,13807,72966,2,9,494,31
IF-AL#,RandomWp25,RandomWp50,adg,2097,6047,104364,667095,17513,101255,17,7,457,29
IF-AL#,RandomWp25,RandomWp100,adg,2028,6743,106856,682531,29257,182977,2,6,454,28
IF-AL#,RandomWp50,RandomWp25,adg,2157,8337,216398,1425267,12873,68767,1,6,541,28
IF-AL#,RandomWp50,RandomWp50,adg,2240,6846,209742,1368073,19290,112312,6,9,489,31
IF-AL#,RandomWp50,RandomWp100,adg,2050,6018,217520,1436238,26355,165804,5,4,541,26
IF-AL#,RandomWp100,RandomWp25,adg,2214,6555,417744,2795465,11993,65816,1,5,549,27
IF-AL#,RandomWp100,RandomWp50,adg,2015,5861,413802,2764750,16855,98946,2,5,529,27
IF-AL#,RandomWp100,RandomWp100,adg,2276,6882,420354,2810606,25174,158624,0,1,556,23
IF-AL#,RandomWp25,RandomWp25,adg,2171,7158,109362,714566,13026,69220,7,10,517,32
IF-AL#,RandomWp25,RandomWp50,adg,2343,7325,113277,744317,20290,118839,6,8,576,30
IF-AL#,RandomWp25,RandomWp100,adg,2121,6592,108663,703362,28143,177325,3,4,493,26
IF-AL#,RandomWp50,RandomWp25,adg,2264,6939,207041,1350144,15280,81965,7,16,481,38
IF-AL#,RandomWp50,RandomWp50,adg,2039,6129,214412,1405146,16645,97585,0,5,515,27
IF-AL#,RandomWp50,RandomWp100,adg,2121,8091,214821,1412610,27895,174586,2,6,526,28
IF-AL#,RandomWp100,RandomWp25,adg,2011,7073,401302,2632408,12113,64145,3,7,469,29
IF-AL#,RandomWp100,RandomWp50,adg,2030,5901,417062,2789081,16663,99214,2,5,539,27
IF-AL#,RandomWp100,RandomWp100,adg,2069,6006,418967,2801814,26740,169661,0,4,556,26
IF-AL#,RandomWp25,RandomWp25,adg,2045,5956,109398,713016,12269,65175,6,6,525,28
IF-AL#,RandomWp25,RandomWp50,adg,1926,6424,108463,701331,18550,106601,0,7,492,29
IF-AL#,RandomWp25,RandomWp100,adg,2280,6903,112059,733071,24135,150552,11,2,544,23
IF-AL#,RandomWp50,RandomWp25,adg,2086,6559,205654,1321716,12314,65680,8,7,442,29
IF-AL#,RandomWp50,RandomWp50,adg,2219,7424,213953,1406155,19225,113205,5,8,531,30
IF-AL#,RandomWp50,RandomWp100,adg,2172,6559,206119,1325283,30133,188761,5,9,456,31
IF-AL#,RandomWp100,RandomWp25,adg,2046,5913,416381,2782766,12023,65678,0,6,538,28
IF-AL#,RandomWp100,RandomWp50,adg,2085,5726,417888,2791741,16720,99608,0,2,544,24
IF-AL#,RandomWp100,RandomWp100,adg,1958,5875,421648,2825510,27626,177285,0,3,558,25
IF-AL#,RandomWp25,RandomWp25,adg,2080,6096,111925,732766,12620,67930,2,4,550,26
IF-AL#,RandomWp25,RandomWp50,adg,2071,5700,103979,658924,16673,94355,15,6,422,28
IF-AL#,RandomWp25,RandomWp100,adg,1996,5820,112342,734361,25263,158750,7,2,546,24
IF-AL#,RandomWp50,RandomWp25,adg,1967,6979,214649,1411014,12632,68397,1,9,524,31
IF-AL#,RandomWp50,RandomWp50,adg,2071,7320,214132,1404384,17986,103502,0,5,517,27
IF-AL#,RandomWp50,RandomWp100,adg,2087,7402,215951,1423388,30849,193737,0,8,539,30
IF-AL#,RandomWp100,RandomWp25,adg,2296,6861,405190,2684384,13750,73826,3,13,518,35
IF-AL#,RandomWp100,RandomWp50,adg,2060,5960,416144,2782395,17335,102234,3,5,544,27
IF-AL#,RandomWp100,RandomWp100,adg,2002,7366,415579,2773480,29130,182338,0,6,540,28
IF-AL#,RandomWp25,RandomWp25,adg,2087,7474,108238,697944,13378,71431,10,7,485,29
IF-AL#,RandomWp25,RandomWp50,adg,2118,6063,109525,717077,18327,107472,15,6,528,28
IF-AL#,RandomWp25,RandomWp100,adg,1973,5712,111798,732160,28249,179612,2,3,550,25
IF-AL#,RandomWp50,RandomWp25,adg,2018,6976,219392,1454064,13820,75611,4,7,568,29
IF-AL#,RandomWp50,RandomWp50,adg,2279,7092,213540,1406080,21039,122732,9,12,537,34
IF-AL#,RandomWp50,RandomWp100,adg,1950,5760,218984,1444858,24740,156320,5,0,553,22
IF-AL#,RandomWp100,RandomWp25,adg,2042,6408,411201,2737502,12215,65489,2,9,528,31
IF-AL#,RandomWp100,RandomWp50,adg,2020,6677,411485,2736089,20146,118691,4,12,539,34
IF-AL#,RandomWp100,RandomWp100,adg,2272,6861,421164,2815968,24940,158043,1,1,555,23
IF-AL#,RandomWp25,RandomWp25,adg,2049,5965,110169,718054,11782,63310,6,5,543,27
IF-AL#,RandomWp25,RandomWp50,adg,1906,6881,108005,693816,19143,111255,1,7,481,29
IF-AL#,RandomWp25,RandomWp100,adg,1936,5800,112262,736533,27071,172228,1,2,551,24
IF-AL#,RandomWp50,RandomWp25,adg,2196,6928,208237,1348603,12605,66752,3,8,464,30
IF-AL#,RandomWp50,RandomWp50,adg,2083,6082,215848,1422695,18193,107222,9,6,537,28
IF-AL#,RandomWp50,RandomWp100,adg,2327,7110,219005,1445421,25107,158385,3,1,554,23
IF-AL#,RandomWp100,RandomWp25,adg,2102,6808,398561,2618428,13290,70849,3,13,480,35
IF-AL#,RandomWp100,RandomWp50,adg,2135,6977,407754,2706558,19073,110378,0,9,514,31
