method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,learning_fp,matching_fp,learned_models,len(specifications),b,FCQs,TFCQ,TLCQ
IF-AL#,RandomWp100,RandomWp100,adg,43,107,15707,93181,4767,26347,0,0,40,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp25,adg,43,107,15808,93725,2104,9848,0,0,40,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp50,adg,43,105,15549,92189,3027,15436,1,0,39,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp100,adg,43,107,15847,94264,4781,26316,0,0,40,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp25,adg,45,117,15370,91094,2130,10198,1,0,39,9,None,34,31,9
IF-AL#,RandomWp100,RandomWp50,adg,43,105,15602,92236,2962,15157,1,0,39,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp100,adg,43,107,15749,93190,4768,26098,0,0,40,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp25,adg,43,107,15743,93324,2058,9644,0,0,40,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp50,adg,43,105,15593,92356,3026,15546,1,0,39,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp100,adg,43,107,15690,93182,4815,26548,0,0,40,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp25,adg,43,107,15838,93887,2076,9630,0,0,40,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp50,adg,43,107,15651,93231,3033,15701,0,0,40,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp100,adg,43,107,15735,93593,4839,26677,0,0,40,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp25,adg,43,107,15722,93496,2057,9683,0,0,40,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp50,adg,43,107,15759,93470,3011,15360,0,0,40,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp100,adg,43,107,15766,93341,4803,26524,0,0,40,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp25,adg,43,105,15644,92946,2045,9620,1,0,39,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp50,adg,43,107,15812,93631,3016,15545,0,0,40,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp100,adg,43,107,15748,93160,4797,26295,0,0,40,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp25,adg,43,105,15528,92067,2068,9687,1,0,39,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp50,adg,43,107,15733,92962,3008,15515,0,0,40,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp100,adg,43,107,15658,93122,4774,26406,0,0,40,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp25,adg,43,107,15772,93690,2101,9890,0,0,40,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp50,adg,43,107,15814,93719,3000,15419,0,0,40,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp100,adg,43,107,15737,93075,4811,26465,0,0,40,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp25,adg,45,117,15325,90741,2121,10058,1,0,39,9,None,34,31,9
IF-AL#,RandomWp100,RandomWp50,adg,43,105,15532,92113,3044,15624,1,0,39,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp100,adg,43,107,15753,93624,4821,26570,0,0,40,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp25,adg,45,117,14591,86163,2603,12794,1,0,39,9,None,34,31,9
IF-AL#,RandomWp100,RandomWp50,adg,43,107,15716,93474,3007,15428,0,0,40,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp100,adg,43,107,15670,92948,4804,26510,0,0,40,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp25,adg,43,107,15658,92897,2066,9822,0,0,40,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp50,adg,43,105,15528,92100,2988,15222,1,0,39,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp100,adg,43,105,15643,92501,4772,26361,1,0,39,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp25,adg,43,105,15538,92087,2060,9695,1,0,39,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp50,adg,43,107,15715,93181,2976,15209,0,0,40,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp100,adg,43,107,15636,92881,4857,26733,0,0,40,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp25,adg,44,115,14962,88556,2293,10709,1,0,39,9,None,34,31,9
IF-AL#,RandomWp100,RandomWp50,adg,43,107,15730,93193,3030,15452,0,0,40,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp100,adg,43,107,15703,93030,4787,26284,0,0,40,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp25,adg,43,107,15704,93285,2118,10002,0,0,40,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp50,adg,43,107,15720,93253,3052,15619,0,0,40,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp100,adg,43,107,15671,93253,4701,25778,0,0,40,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp25,adg,43,107,15689,93256,2083,9797,0,0,40,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp50,adg,43,107,15782,93834,3020,15634,0,0,40,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp100,adg,43,107,15756,93463,4781,26236,0,0,40,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp25,adg,43,107,15701,93534,2089,9799,0,0,40,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp50,adg,43,107,15669,93037,2986,15271,0,0,40,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp100,adg,43,107,15755,93354,4804,26509,0,0,40,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp25,adg,45,117,15347,90737,2077,9709,1,0,39,9,None,34,31,9
IF-AL#,RandomWp100,RandomWp50,adg,43,107,15782,93631,3093,16079,0,0,40,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp100,adg,43,107,15773,93537,4768,26221,0,0,40,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp25,adg,43,105,15702,92953,2016,9634,1,0,39,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp50,adg,43,107,15790,93748,2994,15316,0,0,40,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp100,adg,43,107,15801,93381,4718,25996,0,0,40,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp25,adg,43,107,15593,92510,2067,9713,0,0,40,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp50,adg,43,107,15753,93374,3055,15924,0,0,40,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp100,adg,43,107,15712,93115,4744,26118,0,0,40,8,None,34,32,8
IF-AL#,RandomWp100,RandomWp25,adg,45,117,15317,90399,2117,10005,1,0,39,9,None,34,31,9
IF-AL#,RandomWp100,RandomWp50,adg,43,107,15795,93441,3018,15509,0,0,40,8,None,34,32,8
