method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,learning_fp,matching_fp,learned_models,len(specifications),b,FCQs,TFCQ,TLCQ
IF-AL#,RandomWp100,RandomWp100,adg,52,127,13500,91436,8113,48367,3,5,22,8,None,27,22,8
IF-AL#,RandomWp100,RandomWp25,adg,61,201,10000,64858,7241,36659,10,6,14,15,None,26,15,15
IF-AL#,RandomWp100,RandomWp50,adg,50,130,14047,95041,6984,39223,4,6,20,9,None,27,21,9
IF-AL#,RandomWp100,RandomWp100,adg,62,123,16116,113864,8465,51201,1,0,29,7,None,27,23,7
IF-AL#,RandomWp100,RandomWp25,adg,77,221,11627,80321,6901,35693,7,2,21,13,None,27,17,13
IF-AL#,RandomWp100,RandomWp50,adg,55,140,11306,73112,7842,43318,4,8,18,10,None,27,20,10
IF-AL#,RandomWp100,RandomWp100,adg,59,158,14723,101985,10521,63085,3,1,26,9,None,27,21,9
IF-AL#,RandomWp100,RandomWp25,adg,61,185,10108,64614,7637,39641,8,7,15,14,None,26,16,14
IF-AL#,RandomWp100,RandomWp50,adg,56,179,14797,103043,7270,40511,3,1,26,9,None,26,21,9
IF-AL#,RandomWp100,RandomWp100,adg,62,178,14855,100968,9917,60807,3,2,25,9,None,27,21,9
IF-AL#,RandomWp100,RandomWp25,adg,79,217,9479,62893,6952,35216,10,5,15,15,None,27,15,15
IF-AL#,RandomWp100,RandomWp50,adg,60,160,12500,84005,7777,42793,5,3,22,11,None,27,19,11
IF-AL#,RandomWp100,RandomWp100,adg,51,105,16723,118230,7821,47842,0,0,30,6,None,27,24,6
IF-AL#,RandomWp100,RandomWp25,adg,57,155,9090,57143,6149,30429,10,8,12,14,None,27,16,14
IF-AL#,RandomWp100,RandomWp50,adg,61,193,14051,95865,7727,44167,4,3,23,10,None,27,20,10
IF-AL#,RandomWp100,RandomWp100,adg,55,153,12246,81583,9798,57866,5,6,19,10,None,27,20,10
IF-AL#,RandomWp100,RandomWp25,adg,57,202,9628,61323,6745,34152,8,8,14,13,None,27,17,13
IF-AL#,RandomWp100,RandomWp50,adg,54,155,12352,84230,8119,44107,5,4,21,11,None,26,19,11
IF-AL#,RandomWp100,RandomWp100,adg,59,150,14159,96133,10381,62751,3,4,23,9,None,27,21,9
