method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,learning_fp,matching_fp,learned_models,len(specifications),b,FCQs,TFCQ,TLCQ
IF-AL#,RandomWp100,RandomWp100,adg,53,106,55371,457743,28233,210578,0,0,30,6,None,27,24,6
IF-AL#,RandomWp100,RandomWp25,adg,68,216,33688,248543,37737,261190,5,0,25,11,None,27,19,11
IF-AL#,RandomWp100,RandomWp50,adg,62,157,49131,400543,31038,225105,2,0,28,8,None,26,22,8
IF-AL#,RandomWp100,RandomWp100,adg,53,106,55319,457338,28549,214466,0,0,30,6,None,27,24,6
IF-AL#,RandomWp100,RandomWp25,adg,48,241,33075,247573,39466,276520,7,0,23,13,None,27,17,13
IF-AL#,RandomWp100,RandomWp50,adg,62,137,48531,394780,32522,239870,2,0,28,8,None,27,22,8
IF-AL#,RandomWp100,RandomWp100,adg,56,121,54999,455683,29763,220295,1,0,29,7,None,27,23,7
IF-AL#,RandomWp100,RandomWp25,adg,75,224,30423,223194,28412,183948,8,0,22,13,None,27,17,13
IF-AL#,RandomWp100,RandomWp50,adg,63,179,44790,355061,35529,260456,3,0,27,9,None,26,21,9
IF-AL#,RandomWp100,RandomWp100,adg,53,106,55388,457204,30117,232861,0,0,30,6,None,27,24,6
IF-AL#,RandomWp100,RandomWp25,adg,70,224,35239,271040,31919,213384,6,0,24,12,None,28,18,12
IF-AL#,RandomWp100,RandomWp50,adg,56,121,53395,442412,24219,169782,1,0,29,7,None,27,23,7
IF-AL#,RandomWp100,RandomWp100,adg,57,138,50307,407964,38756,296569,1,0,29,7,None,26,23,7
IF-AL#,RandomWp100,RandomWp25,adg,44,233,42943,342133,32925,231683,4,0,26,10,None,26,20,10
IF-AL#,RandomWp100,RandomWp50,adg,57,138,50547,409969,29416,216710,1,0,29,7,None,26,23,7
IF-AL#,RandomWp100,RandomWp100,adg,53,106,55297,456601,27910,208049,0,0,30,6,None,27,24,6
IF-AL#,RandomWp100,RandomWp25,adg,60,151,44232,351353,30958,220355,3,0,27,9,None,27,21,9
IF-AL#,RandomWp100,RandomWp50,adg,57,134,51067,414415,28135,205195,1,0,29,7,None,26,23,7
IF-AL#,RandomWp100,RandomWp100,adg,57,134,52806,432659,37205,288764,1,0,29,7,None,26,23,7
IF-AL#,RandomWp100,RandomWp25,adg,47,235,40272,320018,30741,208981,4,0,26,10,None,27,20,10
IF-AL#,RandomWp100,RandomWp50,adg,53,106,55383,457770,22056,156158,0,0,30,6,None,27,24,6
IF-AL#,RandomWp100,RandomWp100,adg,53,106,55326,457622,28411,214689,0,0,30,6,None,27,24,6
IF-AL#,RandomWp100,RandomWp25,adg,70,240,37480,287059,30749,211697,6,1,23,11,None,28,19,11
IF-AL#,RandomWp100,RandomWp50,adg,58,141,54116,447907,23812,170989,1,0,29,7,None,27,23,7
