method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,learning_fp,matching_fp,learned_models,len(specifications),b,FCQs,TFCQ,TLCQ
IF-AL#,RandomWp100,RandomWp100,adg,362,1418,243160,2198504,153767,1344209,15,23,62,30,None,94,70,30
IF-AL#,RandomWp100,RandomWp25,adg,341,1426,217229,1957580,90430,721797,25,19,56,40,None,93,60,40
IF-AL#,RandomWp100,RandomWp50,adg,329,1976,224226,2011691,123049,1056684,21,17,62,37,None,92,63,37
IF-AL#,RandomWp100,RandomWp100,adg,310,1610,254564,2321833,139508,1222523,13,22,65,27,None,92,73,27
IF-AL#,RandomWp100,RandomWp25,adg,311,1668,208232,1820583,103904,876095,27,13,60,42,None,93,58,42
IF-AL#,RandomWp100,RandomWp50,adg,294,1639,225182,2027009,121370,1036553,22,22,56,36,None,93,64,36
IF-AL#,RandomWp100,RandomWp100,adg,332,1437,241882,2194601,170327,1521398,18,17,65,34,None,93,66,34
IF-AL#,RandomWp100,RandomWp25,adg,354,1735,200807,1786519,104208,852458,28,13,59,44,None,93,56,44
IF-AL#,RandomWp100,RandomWp50,adg,314,1558,216231,1929517,127248,1095381,22,24,54,36,None,93,64,36
IF-AL#,RandomWp100,RandomWp100,adg,379,1452,249308,2268716,154150,1373521,15,24,61,30,None,94,70,30
IF-AL#,RandomWp100,RandomWp25,adg,358,1661,207839,1838871,95153,763768,27,24,49,38,None,94,62,38
IF-AL#,RandomWp100,RandomWp50,adg,294,1497,252246,2318420,100018,866340,13,15,72,28,None,92,72,28
IF-AL#,RandomWp100,RandomWp100,adg,344,1473,239628,2156649,162826,1443120,15,17,68,31,None,93,69,31
IF-AL#,RandomWp100,RandomWp25,adg,341,1751,210981,1872387,99201,817513,26,17,57,41,None,92,59,41
IF-AL#,RandomWp100,RandomWp50,adg,365,1711,236423,2169535,118987,1005186,20,15,65,37,None,93,63,37
IF-AL#,RandomWp100,RandomWp100,adg,316,1477,249001,2253159,158644,1443033,15,20,65,30,None,93,70,30
IF-AL#,RandomWp100,RandomWp25,adg,368,1702,192542,1683466,106950,879840,30,15,55,44,None,93,56,44
IF-AL#,RandomWp100,RandomWp50,adg,334,1657,232631,2110064,122223,1059640,21,18,61,36,None,94,64,36
IF-AL#,RandomWp100,RandomWp100,adg,304,1559,247313,2244470,161622,1456686,17,26,57,32,None,93,68,32
IF-AL#,RandomWp100,RandomWp25,adg,345,1630,198627,1786594,104518,834217,31,23,46,44,None,93,56,44
IF-AL#,RandomWp100,RandomWp50,adg,324,1530,218295,1951203,124667,1070716,22,21,57,36,None,93,64,36
IF-AL#,RandomWp100,RandomWp100,adg,275,1441,242720,2170915,150586,1354072,18,34,48,28,None,94,72,28
IF-AL#,RandomWp100,RandomWp25,adg,310,1531,210409,1847823,96488,797233,27,16,57,39,None,93,61,39
