,learning_rounds,automaton_size,queries_learning,steps_learning,queries_eq_oracle,steps_eq_oracle,learning_time,eq_oracle_time,total_time,cache_saved,broker,alg
0,7,7,514,1964,70,930,1827.06,441.49,2268.55,10,hivemq-ce,L#
0,19,24,2321,12785,311,4768,12298.8,2825.27,15124.07,26,emqx,L#
0,24,32,3238,17662,436,6630,17014.86,3983.95,20998.81,47,mosquitto,L#
0,15,19,1728,9007,204,3018,8627.42,1734.43,10361.85,22,vernemq1,L#
0,2,2,79,162,20,247,96.69,46.18,142.87,1,active-mq-artemis,L#
0,1,1,20,20,10,120,0.07,0.04,0.11,0,active-mq-classic,L#
0,1,1,20,20,10,120,0.04,0.02,0.06,0,active-mq-classic,L#
0,1,1,20,20,10,120,0.01,0.03,0.04,0,active-mq-classic,L#
0,33,53,6946,60788,599,9618,58923.04,5947.42,64870.46,48,ejabberd,L#
0,8,8,642,2838,80,1085,2659.2,581.23,3240.43,11,mochi,L#
0,1,1,20,20,10,120,0.13,0.1,0.23,0,active-mq-classic-5.19,L#
0,1,1,20,20,10,120,0.13,0.08,0.21,0,rabbit,L#
0,1,1,20,20,10,120,0.05,0.06,0.11,0,rabbit,L#
